"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"227","8","InterPro Domains","","EF-hand domain","0.0435","RHBDL3|S100A11|CALM3|CALML6|CALML3|CALML5|NECAB1|CALML4","2046","2362|2090|2118|2446|2102|2086|2214|2426","1.62E-5","","IPR002048","0.24031411681123382","0"
"56","5","InterPro Domains","","Four-helical cytokine-like, core","0.0435","LIF|IFNA14|IFNA21|IL6|IFNA5","2046","2218|2334|2294|2322|2314","1.05E-5","","IPR009079","0.24031411681123382","0"
"264","9","InterPro Domains","","EF-hand domain pair","0.0435","RHBDL3|S100A11|CALM3|CALML6|CALML3|SMOC1|CALML5|NECAB1|CALML4","2046","2362|2090|2118|2446|2102|2098|2086|2214|2426","6.06E-6","","IPR011992","0.24031411681123382","0"
"50","4","GO Biological Process","","Response to exogenous dsRNA","0.0459","IFIT1|IFNA14|IFNA21|IFNA5","2046","2378|2334|2294|2314","1.3E-4","","GO:0043330","0.23619740368981818","0"
"227","7","GO Biological Process","","Positive regulation of neurogenesis","0.0459","LIF|SERPINF1|KIT|OTP|IL6|MME|TIAM2","2046","2218|2422|2222|2138|2322|2254|2210","1.3E-4","","GO:0050769","0.23619740368981818","0"
"2121","23","GO Biological Process","","Immune system process","0.0464","PDE1B|LIF|BST2|HERC6|FLT1|KIT|RUNX1|JUNB|FOS|TAC1|NFKBIZ|ZBTB16|IFI6|IFIT1|IFNA14|IFNA21|IL6|CEBPD|TIPARP|AKAP1|IFNA5|IFITM2|ALPK1","2046","2134|2218|2278|2282|2178|2222|2206|2342|2302|2438|2154|2238|2406|2378|2334|2294|2322|2142|2082|2386|2314|2358|2130","1.3E-4","","GO:0002376","0.23536689330106697","0"
"2","2","GO Biological Process","","Proximal/distal pattern formation involved in metanephric nephron development","0.0464","IRX1|IRX2","2046","2354|2366","1.3E-4","","GO:0072272","0.23536689330106697","0"
"98","6","STRING Clusters","","JAK-STAT signaling pathway","0.0466","LIF|SOCS3|IFNA14|IFNA21|IL6|IFNA5","2046","2218|2246|2334|2294|2322|2314","1.02E-5","","CL:15943","0.23503719232377837","0"
"29","4","STRING Clusters","","Overview of interferons-mediated signaling pathway","0.0466","SOCS3|IFNA14|IFNA21|IFNA5","2046","2246|2334|2294|2314","1.76E-5","","CL:16013","0.23503719232377837","0"
"38","4","STRING Clusters","","Mixed, incl. Basic region leucin zipper, and Early growth response, N-terminal","0.0466","GADD45B|CSRNP1|JUNB|FOS","2046","2230|2370|2342|2302","4.65E-5","","CL:18502","0.23503719232377837","0"
"10","3","STRING Clusters","","CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde, and MARCKS family","0.0466","CALM3|CALML6|CALML5","2046","2118|2446|2086","2.87E-5","","CL:22378","0.23503719232377837","0"
"41","4","STRING Clusters","","Mixed, incl. Interferon alpha/beta signaling, and Guanylate-binding protein, C-terminal","0.0467","HERC6|IFI6|IFIT1|IFITM2","2046","2282|2406|2378|2358","6.12E-5","","CL:17003","0.23487287209140872","0"
"83","3","KEGG Pathways","","Rheumatoid arthritis","0.0471","FLT1|FOS|IL6","2046","2178|2302|2322","0.008","","hsa05323","0.2342190910789359","0"
"17","3","STRING Clusters","","Mixed, incl. 2-5-oligoadenylate synthetase activity, and Interferon-induced 6-16 family","0.0472","HERC6|IFI6|IFIT1","2046","2282|2406|2378","1.1E-4","","CL:17012","0.23405651337420377","0"
"176","7","InterPro Domains","","EF-Hand 1, calcium-binding site","0.0481","S100A11|CALM3|CALML6|CALML3|SMOC1|CALML5|NECAB1","2046","2090|2118|2446|2102|2098|2086|2214","2.68E-5","","IPR018247","0.23260862514252437","0"
"336","7","WikiPathways","","PI3K-Akt signaling pathway","0.0486","FLT1|KIT|DDIT4|IFNA14|IFNA21|IL6|IFNA5","2046","2178|2222|2126|2334|2294|2322|2314","0.0012","","WP4172","0.23181590495435647","0"
