"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"44","5","GO Biological Process","","Cellular response to type I interferon","0.0037","IFIT1|IFNA14|IFNA21|IFNA5|IFITM2","2046","2378|2334|2294|2314|2358","3.51E-6","","GO:0071357","0.42922573907626543","0"
"132","5","KEGG Pathways","","Vascular smooth muscle contraction","0.0042","CALM3|CALML6|CALML3|CALML5|CALML4","2046","2118|2446|2102|2086|2426","4.9E-4","","hsa04270","0.41950954157066955","0"
"133","5","KEGG Pathways","","Apelin signaling pathway","0.0042","CALM3|CALML6|CALML3|CALML5|CALML4","2046","2118|2446|2102|2086|2426","5.1E-4","","hsa04371","0.41950954157066955","0"
"25","4","Reactome Pathways","","Regulation of IFNA/IFNB signaling","0.0047","SOCS3|IFNA14|IFNA21|IFNA5","2046","2246|2334|2294|2314","1.03E-5","","HSA-912694","0.4108875013662073","0"
"21","4","GO Biological Process","","Positive regulation of peptidyl-serine phosphorylation of STAT protein","0.0055","LIF|IFNA14|IFNA21|IFNA5","2046","2218|2334|2294|2314","5.59E-6","","GO:0033141","0.39883838402427507","0"
"12385","79","GO Biological Process","","Biological regulation","0.0055","GADD45B|SULT1E1|DNPH1|PPP1R3C|PDE1B|TLE6|LIF|BST2|FUS|SERPINF1|RGS8|F13A1|PITX1|ST8SIA2|S100A11|CSRNP1|FLT1|BMP3|ADAMTS1|KIT|CALM3|DRAXIN|DEPP1|PCBD1|RUNX1|OTP|JUNB|CALML6|ZNF439|IRX1|FOS|IRX2|DDIT4|CBX2|ZNF471|CALML3|TAC1|NFKBIZ|SOCS3|ZBTB16|IFI6|AUTS2|SCN8A|POU3F3|SMOC1|CSRP1|GPC4|ANKRD1|IFIT1|PBX3|ID1|IFNA14|IFNA21|CALML5|EGFL6|TFAP2B|HSPA2|ARHGAP21|NEDD4L|IL6|KCNS3|CEBPD|NECAB1|GBE1|MME|CALML4|TIPARP|OCIAD2|PTP4A3|GRIA1|EBF2|EID3|TIAM2|STRA6|GJC1|UBE2E3|IFNA5|IFITM2|ALPK1","2046","2230|2298|2198|2390|2134|2194|2218|2278|2430|2422|2158|2374|2410|2306|2090|2370|2178|2382|2150|2222|2118|2186|2258|2170|2206|2138|2342|2446|2286|2354|2302|2366|2126|2162|2242|2102|2438|2154|2246|2238|2406|2174|2078|2394|2098|2418|2270|2338|2378|2326|2398|2334|2294|2086|2346|2274|2110|2442|2330|2322|2094|2142|2214|2402|2254|2426|2082|2166|2073|2350|2106|2434|2210|2414|2266|2234|2314|2358|2130","5.89E-6","","GO:0065007","0.39883838402427507","0"
"146","5","KEGG Pathways","","Adrenergic signaling in cardiomyocytes","0.0062","CALM3|CALML6|CALML3|CALML5|CALML4","2046","2118|2446|2102|2086|2426","7.7E-4","","hsa04261","0.38965498003837","0"
"146","5","KEGG Pathways","","Alcoholism","0.0062","CALM3|CALML6|CALML3|CALML5|CALML4","2046","2118|2446|2102|2086|2426","7.7E-4","","hsa05034","0.38965498003837","0"
"6207","50","GO Biological Process","","Positive regulation of biological process","0.0081","GADD45B|SULT1E1|DNPH1|TLE6|LIF|BST2|FUS|SERPINF1|PITX1|ST8SIA2|S100A11|CSRNP1|FLT1|BMP3|ADAMTS1|KIT|CALM3|PCBD1|RUNX1|OTP|JUNB|FOS|DDIT4|TAC1|NFKBIZ|SOCS3|ZBTB16|AUTS2|POU3F3|ANKRD1|IFIT1|PBX3|ID1|IFNA14|IFNA21|EGFL6|TFAP2B|HSPA2|NEDD4L|IL6|CEBPD|MME|TIPARP|OCIAD2|PTP4A3|EBF2|TIAM2|STRA6|IFNA5|ALPK1","2046","2230|2298|2198|2194|2218|2278|2430|2422|2410|2306|2090|2370|2178|2382|2150|2222|2118|2170|2206|2138|2342|2302|2126|2438|2154|2246|2238|2174|2394|2338|2378|2326|2398|2334|2294|2346|2274|2110|2330|2322|2142|2254|2082|2166|2073|2106|2210|2414|2314|2130","1.13E-5","","GO:0048518","0.3691638703940035","0"
"157","5","KEGG Pathways","","Hepatitis C","0.0081","SOCS3|IFIT1|IFNA14|IFNA21|IFNA5","2046","2246|2378|2334|2294|2314","0.0011","","hsa05160","0.3691638703940035","0"
"158","5","KEGG Pathways","","Hepatitis B","0.0081","FOS|IFNA14|IFNA21|IL6|IFNA5","2046","2302|2334|2294|2322|2314","0.0011","","hsa05161","0.3691638703940035","0"
"130","6","WikiPathways","","Adipogenesis","0.0083","GADD45B|LIF|BMP3|SOCS3|IL6|CEBPD","2046","2230|2218|2382|2246|2322|2142","4.67E-5","","WP236","0.3672941347970915","0"
"181","7","WikiPathways","","Ras signaling","0.0083","FLT1|KIT|CALM3|CALML6|CALML3|CALML5|CALML4","2046","2178|2222|2118|2446|2102|2086|2426","3.18E-5","","WP4223","0.3672941347970915","0"
"135","6","WikiPathways","","Measles virus infection","0.0083","FOS|IFNA14|IFNA21|HSPA2|IL6|IFNA5","2046","2302|2334|2294|2110|2322|2314","5.72E-5","","WP4630","0.3672941347970915","0"
"35","4","WikiPathways","","Host-pathogen interaction of human coronaviruses - MAPK signaling","0.0083","BST2|JUNB|FOS|IFITM2","2046","2278|2342|2302|2358","3.45E-5","","WP4877","0.3672941347970915","0"
"163","5","KEGG Pathways","","cGMP-PKG signaling pathway","0.0091","CALM3|CALML6|CALML3|CALML5|CALML4","2046","2118|2446|2102|2086|2426","0.0012","","hsa04022","0.3602403930765755","0"
"163","5","KEGG Pathways","","Influenza A","0.0091","SOCS3|IFNA14|IFNA21|IL6|IFNA5","2046","2246|2334|2294|2322|2314","0.0012","","hsa05164","0.3602403930765755","0"
"349","7","KEGG Pathways","","PI3K-Akt signaling pathway","0.0108","FLT1|KIT|DDIT4|IFNA14|IFNA21|IL6|IFNA5","2046","2178|2222|2126|2334|2294|2322|2314","0.0015","","hsa04151","0.34711149783880973","0"
"218","7","WikiPathways","","Network map of SARS-CoV-2 signaling pathway","0.011","BST2|JUNB|FOS|DDIT4|IFI6|IFIT1|IL6","2046","2278|2342|2302|2126|2406|2378|2322","9.89E-5","","WP5115","0.34570493802599483","0"
"1332","19","GO Biological Process","","Positive regulation of developmental process","0.0111","SULT1E1|TLE6|LIF|SERPINF1|ST8SIA2|FLT1|KIT|RUNX1|OTP|JUNB|FOS|NFKBIZ|SOCS3|ZBTB16|NEDD4L|IL6|CEBPD|MME|TIAM2","2046","2298|2194|2218|2422|2306|2178|2222|2206|2138|2342|2302|2154|2246|2238|2330|2322|2142|2254|2210","1.63E-5","","GO:0051094","0.34501121963489867","0"
"1723","22","GO Biological Process","","Tissue development","0.0113","DNPH1|LIF|PITX1|BMP3|RUNX1|OTP|JUNB|IRX1|FOS|IRX2|SOCS3|ZBTB16|POU3F3|CSRP1|ANKRD1|CALML5|TAGLN|TFAP2B|TIPARP|EBF2|STRA6|GJC1","2046","2198|2218|2410|2382|2206|2138|2342|2354|2302|2366|2246|2238|2394|2418|2338|2086|2310|2274|2082|2106|2414|2266","1.72E-5","","GO:0009888","0.34364233756137613","0"
"6490","51","GO Biological Process","","Multicellular organismal process","0.0113","PDE1B|TLE6|LIF|NCAN|SERPINF1|HERC6|F13A1|PITX1|ST8SIA2|CSRNP1|FLT1|BMP3|ADAMTS1|KIT|CALM3|DRAXIN|RUNX1|OTP|JUNB|IRX1|FOS|IRX2|DDIT4|CBX2|TAC1|SOCS3|ZBTB16|AUTS2|SCN8A|POU3F3|SMOC1|CSRP1|ANKRD1|PBX3|ID1|IFNA14|IFNA21|TFAP2B|HSPA2|NEDD4L|IL6|CEBPD|NECAB1|MME|TIPARP|PTP4A3|GRIA1|STRA6|GJC1|PCDHB16|IFNA5","2046","2134|2194|2218|2262|2422|2282|2374|2410|2306|2370|2178|2382|2150|2222|2118|2186|2206|2138|2342|2354|2302|2366|2126|2162|2438|2246|2238|2174|2078|2394|2098|2418|2338|2326|2398|2334|2294|2274|2110|2330|2322|2142|2214|2254|2082|2073|2350|2414|2266|2226|2314","1.77E-5","","GO:0032501","0.34364233756137613","0"
"876","15","GO Biological Process","","Positive regulation of cell differentiation","0.0113","SULT1E1|LIF|SERPINF1|KIT|RUNX1|OTP|JUNB|FOS|NFKBIZ|SOCS3|ZBTB16|IL6|CEBPD|MME|TIAM2","2046","2298|2218|2422|2222|2206|2138|2342|2302|2154|2246|2238|2322|2142|2254|2210","1.87E-5","","GO:0045597","0.34364233756137613","0"
"354","7","KEGG Pathways","","Alzheimer disease","0.0114","CALM3|CALML6|CALML3|CALML5|IL6|MME|CALML4","2046","2118|2446|2102|2086|2322|2254|2426","0.0017","","hsa05010","0.34296695557965984","0"
"5584","46","GO Biological Process","","Positive regulation of cellular process","0.0118","GADD45B|SULT1E1|DNPH1|LIF|BST2|FUS|SERPINF1|PITX1|ST8SIA2|S100A11|CSRNP1|FLT1|BMP3|ADAMTS1|KIT|CALM3|PCBD1|RUNX1|OTP|JUNB|FOS|DDIT4|TAC1|NFKBIZ|SOCS3|ZBTB16|AUTS2|POU3F3|ANKRD1|PBX3|ID1|IFNA14|IFNA21|EGFL6|TFAP2B|HSPA2|NEDD4L|IL6|CEBPD|MME|OCIAD2|PTP4A3|EBF2|TIAM2|IFNA5|ALPK1","2046","2230|2298|2198|2218|2278|2430|2422|2410|2306|2090|2370|2178|2382|2150|2222|2118|2170|2206|2138|2342|2302|2126|2438|2154|2246|2238|2174|2394|2338|2326|2398|2334|2294|2346|2274|2110|2330|2322|2142|2254|2166|2073|2106|2210|2314|2130","2.03E-5","","GO:0048522","0.3403234053707642","0"
"48","3","KEGG Pathways","","Autoimmune thyroid disease","0.0123","IFNA14|IFNA21|IFNA5","2046","2334|2294|2314","0.0018","","hsa05320","0.3371422285977507","0"
"396","10","GO Biological Process","","Leukocyte differentiation","0.0129","PDE1B|LIF|KIT|RUNX1|JUNB|FOS|IFNA14|IFNA21|IL6|IFNA5","2046","2134|2218|2222|2206|2342|2302|2334|2294|2322|2314","2.3E-5","","GO:0002521","0.3334912834017684","0"
"100","5","WikiPathways","","Burn wound healing","0.0141","F13A1|S100A11|NFKBIZ|TAGLN|IL6","2046","2374|2090|2154|2310|2322","1.4E-4","","WP5055","0.3266729819248405","0"
"102","5","WikiPathways","","Toll-like receptor signaling pathway","0.0141","FOS|IFNA14|IFNA21|IL6|IFNA5","2046","2302|2334|2294|2322|2314","1.6E-4","","WP75","0.3266729819248405","0"
"478","8","KEGG Pathways","","Herpes simplex virus 1 infection","0.0145","BST2|ZNF439|ZNF471|SOCS3|IFNA14|IFNA21|IL6|IFNA5","2046","2278|2286|2242|2246|2334|2294|2322|2314","0.0022","","hsa05168","0.32452863625260053","0"
"282","6","KEGG Pathways","","Cytokine-cytokine receptor interaction","0.0161","LIF|BMP3|IFNA14|IFNA21|IL6|IFNA5","2046","2218|2382|2334|2294|2322|2314","0.0025","","hsa04060","0.3165050720982863","0"
"192","5","KEGG Pathways","","Epstein-Barr virus infection","0.0161","GADD45B|IFNA14|IFNA21|IL6|IFNA5","2046","2230|2334|2294|2322|2314","0.0025","","hsa05169","0.3165050720982863","0"
"4","3","DISEASES","","Sporotrichosis","0.0165","CALML6|CALML3|CALML4","2046","2446|2102|2426","3.58E-6","","DOID:14484","0.3146238645829083","0"
"804","14","GO Biological Process","","Response to cytokine","0.0166","PDE1B|BST2|KIT|FOS|SOCS3|ANKRD1|IFIT1|IFNA14|IFNA21|IL6|MME|PTP4A3|IFNA5|IFITM2","2046","2134|2278|2222|2302|2246|2338|2378|2334|2294|2322|2254|2073|2314|2358","3.07E-5","","GO:0034097","0.31416068879881126","0"
"1979","23","Reactome Pathways","","Immune System","0.0178","LIF|BST2|HERC6|F13A1|S100A11|CALM3|JUNB|FOS|SOCS3|ZBTB16|IFI6|IFIT1|IFNA14|IFNA21|CALML5|NEDD4L|IL6|CEBPD|MME|UBE2E3|IFNA5|IFITM2|ALPK1","2046","2218|2278|2282|2374|2090|2118|2342|2302|2246|2238|2406|2378|2334|2294|2086|2330|2322|2142|2254|2234|2314|2358|2130","4.67E-5","","HSA-168256","0.3088104696076791","0"
"260","7","WikiPathways","","Alzheimers disease and miRNA effects","0.0221","CALM3|CALML6|CALML3|CALML5|IL6|MME|CALML4","2046","2118|2446|2102|2086|2322|2254|2426","2.8E-4","","WP2059","0.2922238480801774","0"
"260","7","WikiPathways","","Alzheimers disease","0.0221","CALM3|CALML6|CALML3|CALML5|IL6|MME|CALML4","2046","2118|2446|2102|2086|2322|2254|2426","2.8E-4","","WP5124","0.2922238480801774","0"
"12","3","GO Biological Process","","Loop of Henle development","0.0237","IRX1|IRX2|POU3F3","2046","2354|2366|2394","4.53E-5","","GO:0072070","0.286865834749837","0"
"9","3","COMPARTMENTS","","Calcineurin complex","0.0255","CALM3|CALML6|CALML3","2046","2118|2446|2102","2.21E-5","","GOCC:0005955","0.2812544015309643","0"
"11655","74","GO Biological Process","","Regulation of biological process","0.0255","GADD45B|SULT1E1|DNPH1|PPP1R3C|PDE1B|TLE6|LIF|BST2|FUS|SERPINF1|RGS8|PITX1|ST8SIA2|S100A11|CSRNP1|FLT1|BMP3|ADAMTS1|KIT|CALM3|DRAXIN|DEPP1|PCBD1|RUNX1|OTP|JUNB|ZNF439|IRX1|FOS|IRX2|DDIT4|CBX2|ZNF471|TAC1|NFKBIZ|SOCS3|ZBTB16|IFI6|AUTS2|SCN8A|POU3F3|SMOC1|GPC4|ANKRD1|IFIT1|PBX3|ID1|IFNA14|IFNA21|CALML5|EGFL6|TFAP2B|HSPA2|ARHGAP21|NEDD4L|IL6|KCNS3|CEBPD|NECAB1|GBE1|MME|TIPARP|OCIAD2|PTP4A3|GRIA1|EBF2|EID3|TIAM2|STRA6|GJC1|UBE2E3|IFNA5|IFITM2|ALPK1","2046","2230|2298|2198|2390|2134|2194|2218|2278|2430|2422|2158|2410|2306|2090|2370|2178|2382|2150|2222|2118|2186|2258|2170|2206|2138|2342|2286|2354|2302|2366|2126|2162|2242|2438|2154|2246|2238|2406|2174|2078|2394|2098|2270|2338|2378|2326|2398|2334|2294|2086|2346|2274|2110|2442|2330|2322|2094|2142|2214|2402|2254|2082|2166|2073|2350|2106|2434|2210|2414|2266|2234|2314|2358|2130","5.05E-5","","GO:0050789","0.2812544015309643","0"
"126","5","WikiPathways","","Overview of proinflammatory and profibrotic mediators","0.0262","LIF|IFNA14|IFNA21|IL6|IFNA5","2046","2218|2334|2294|2322|2314","4.0E-4","","WP5095","0.279178500925938","0"
"69","4","WikiPathways","","Th17 cell differentiation pathway","0.0262","RUNX1|FOS|SOCS3|IL6","2046","2206|2302|2246|2322","4.0E-4","","WP5130","0.279178500925938","0"
"72","4","WikiPathways","","MECP2 and associated Rett syndrome","0.0263","FUS|CSRP1|CEBPD|GRIA1","2046","2430|2418|2142|2350","4.7E-4","","WP3584","0.2788864801573584","0"
"73","4","WikiPathways","","Cytosolic DNA-sensing pathway","0.0263","IFNA14|IFNA21|IL6|IFNA5","2046","2334|2294|2322|2314","5.0E-4","","WP4655","0.2788864801573584","0"
"134","6","GO Biological Process","","Myeloid leukocyte differentiation","0.0269","PDE1B|LIF|KIT|RUNX1|JUNB|FOS","2046","2134|2218|2222|2206|2342|2302","5.49E-5","","GO:0002573","0.2771573385914166","0"
"31","3","WikiPathways","","SARS coronavirus and innate immunity","0.0272","IFNA14|IFNA21|IFNA5","2046","2334|2294|2314","5.6E-4","","WP4912","0.2763071780207975","0"
"67","3","KEGG Pathways","","Acute myeloid leukemia","0.0281","KIT|RUNX1|ZBTB16","2046","2222|2206|2238","0.0045","","hsa05221","0.27381184654702245","0"
"447","10","GO Biological Process","","Regulation of nervous system development","0.0289","LIF|SERPINF1|ST8SIA2|KIT|DRAXIN|OTP|ID1|IL6|MME|TIAM2","2046","2218|2422|2306|2222|2186|2138|2398|2322|2254|2210","6.25E-5","","GO:0051960","0.27165997586836643","0"
