SUID,shared name,shared interaction,name,selected,interaction,stringdb::score,stringdb::interspecies,stringdb::neighborhood,stringdb::fusion,stringdb::cooccurrence,stringdb::coexpression,stringdb::experiments,stringdb::databases,stringdb::textmining
16897,9606.ENSP00000306245 (pp) 9606.ENSP00000315299,pp,9606.ENSP00000306245 (pp) 9606.ENSP00000315299,False,pp,0.634,,0.0,0.0,0.0,0.0,0.098,0.0,0.611
16642,9606.ENSP00000264346 (pp) 9606.ENSP00000360869,pp,9606.ENSP00000264346 (pp) 9606.ENSP00000360869,False,pp,0.882,,0.0,0.0,0.0,0.78,0.0,0.0,0.487
16900,9606.ENSP00000306245 (pp) 9606.ENSP00000330341,pp,9606.ENSP00000306245 (pp) 9606.ENSP00000330341,False,pp,0.641,,0.0,0.0,0.0,0.245,0.0,0.0,0.544
16903,9606.ENSP00000306245 (pp) 9606.ENSP00000369689,pp,9606.ENSP00000306245 (pp) 9606.ENSP00000369689,False,pp,0.654,,0.0,0.0,0.0,0.0,0.148,0.0,0.611
16648,9606.ENSP00000271638 (pp) 9606.ENSP00000419081,pp,9606.ENSP00000271638 (pp) 9606.ENSP00000419081,False,pp,0.515,,0.0,0.0,0.0,0.0,0.116,0.0,0.474
16906,9606.ENSP00000306245 (pp) 9606.ENSP00000321106,pp,9606.ENSP00000306245 (pp) 9606.ENSP00000321106,False,pp,0.669,,0.0,0.0,0.0,0.042,0.0,0.0,0.669
16651,9606.ENSP00000271638 (pp) 9606.ENSP00000304643,pp,9606.ENSP00000271638 (pp) 9606.ENSP00000304643,False,pp,0.527,,0.0,0.0,0.0,0.0,0.116,0.0,0.487
16909,9606.ENSP00000306245 (pp) 9606.ENSP00000386165,pp,9606.ENSP00000306245 (pp) 9606.ENSP00000386165,False,pp,0.772,,0.0,0.0,0.0,0.289,0.102,0.4,0.475
16654,9606.ENSP00000271638 (pp) 9606.ENSP00000315299,pp,9606.ENSP00000271638 (pp) 9606.ENSP00000315299,False,pp,0.529,,0.0,0.0,0.0,0.067,0.116,0.0,0.475
16912,9606.ENSP00000306245 (pp) 9606.ENSP00000385675,pp,9606.ENSP00000306245 (pp) 9606.ENSP00000385675,False,pp,0.891,,0.0,0.0,0.0,0.14,0.0,0.0,0.879
16657,9606.ENSP00000271638 (pp) 9606.ENSP00000291295,pp,9606.ENSP00000271638 (pp) 9606.ENSP00000291295,False,pp,0.53,,0.0,0.0,0.0,0.081,0.116,0.0,0.468
16660,9606.ENSP00000271638 (pp) 9606.ENSP00000369689,pp,9606.ENSP00000271638 (pp) 9606.ENSP00000369689,False,pp,0.533,,0.0,0.0,0.0,0.069,0.116,0.0,0.478
16918,9606.ENSP00000307305 (pp) 9606.ENSP00000386165,pp,9606.ENSP00000307305 (pp) 9606.ENSP00000386165,False,pp,0.503,,0.0,0.0,0.0,0.122,0.0,0.0,0.457
16663,9606.ENSP00000273153 (pp) 9606.ENSP00000330341,pp,9606.ENSP00000273153 (pp) 9606.ENSP00000330341,False,pp,0.513,,0.0,0.0,0.0,0.448,0.0,0.0,0.154
16921,9606.ENSP00000308750 (pp) 9606.ENSP00000344087,pp,9606.ENSP00000308750 (pp) 9606.ENSP00000344087,False,pp,0.613,,0.0,0.0,0.0,0.0,0.0,0.5,0.259
16666,9606.ENSP00000273153 (pp) 9606.ENSP00000306245,pp,9606.ENSP00000273153 (pp) 9606.ENSP00000306245,False,pp,0.515,,0.0,0.0,0.0,0.401,0.0,0.0,0.223
16924,9606.ENSP00000315299 (pp) 9606.ENSP00000376678,pp,9606.ENSP00000315299 (pp) 9606.ENSP00000376678,False,pp,0.526,,0.0,0.0,0.0,0.059,0.133,0.0,0.466
16927,9606.ENSP00000315299 (pp) 9606.ENSP00000383199,pp,9606.ENSP00000315299 (pp) 9606.ENSP00000383199,False,pp,0.561,,0.0,0.0,0.0,0.0,0.076,0.0,0.545
16672,9606.ENSP00000273153 (pp) 9606.ENSP00000325663,pp,9606.ENSP00000273153 (pp) 9606.ENSP00000325663,False,pp,0.543,,0.0,0.0,0.0,0.431,0.0,0.0,0.228
16930,9606.ENSP00000315299 (pp) 9606.ENSP00000428994,pp,9606.ENSP00000315299 (pp) 9606.ENSP00000428994,False,pp,0.581,,0.0,0.0,0.0,0.0,0.0,0.0,0.581
16675,9606.ENSP00000273153 (pp) 9606.ENSP00000303315,pp,9606.ENSP00000273153 (pp) 9606.ENSP00000303315,False,pp,0.66,,0.0,0.0,0.0,0.65,0.0,0.0,0.068
16933,9606.ENSP00000315299 (pp) 9606.ENSP00000478212,pp,9606.ENSP00000315299 (pp) 9606.ENSP00000478212,False,pp,0.675,,0.0,0.0,0.0,0.0,0.0,0.0,0.675
16936,9606.ENSP00000315299 (pp) 9606.ENSP00000321106,pp,9606.ENSP00000315299 (pp) 9606.ENSP00000321106,False,pp,0.791,,0.0,0.0,0.0,0.058,0.0,0.0,0.788
16681,9606.ENSP00000282397 (pp) 9606.ENSP00000369571,pp,9606.ENSP00000282397 (pp) 9606.ENSP00000369571,False,pp,0.521,,0.0,0.0,0.0,0.054,0.0,0.0,0.515
16939,9606.ENSP00000315299 (pp) 9606.ENSP00000456609,pp,9606.ENSP00000315299 (pp) 9606.ENSP00000456609,False,pp,0.8,,0.0,0.0,0.0,0.072,0.29,0.0,0.722
16684,9606.ENSP00000282397 (pp) 9606.ENSP00000484479,pp,9606.ENSP00000282397 (pp) 9606.ENSP00000484479,False,pp,0.522,,0.0,0.0,0.0,0.054,0.0,0.0,0.516
16942,9606.ENSP00000315299 (pp) 9606.ENSP00000346534,pp,9606.ENSP00000315299 (pp) 9606.ENSP00000346534,False,pp,0.818,,0.0,0.0,0.0,0.0,0.295,0.0,0.752
16687,9606.ENSP00000282397 (pp) 9606.ENSP00000369574,pp,9606.ENSP00000282397 (pp) 9606.ENSP00000369574,False,pp,0.525,,0.0,0.0,0.0,0.054,0.0,0.0,0.519
16945,9606.ENSP00000315299 (pp) 9606.ENSP00000419081,pp,9606.ENSP00000315299 (pp) 9606.ENSP00000419081,False,pp,0.963,,0.0,0.0,0.081,0.0,0.0,0.9,0.632
16690,9606.ENSP00000282397 (pp) 9606.ENSP00000306245,pp,9606.ENSP00000282397 (pp) 9606.ENSP00000306245,False,pp,0.574,,0.0,0.0,0.0,0.087,0.0,0.0,0.552
16948,9606.ENSP00000315299 (pp) 9606.ENSP00000369689,pp,9606.ENSP00000315299 (pp) 9606.ENSP00000369689,False,pp,0.967,,0.0,0.0,0.077,0.162,0.0,0.9,0.632
16693,9606.ENSP00000282397 (pp) 9606.ENSP00000385675,pp,9606.ENSP00000282397 (pp) 9606.ENSP00000385675,False,pp,0.604,,0.0,0.0,0.0,0.062,0.0,0.0,0.595
16951,9606.ENSP00000321106 (pp) 9606.ENSP00000385675,pp,9606.ENSP00000321106 (pp) 9606.ENSP00000385675,False,pp,0.666,,0.0,0.0,0.0,0.048,0.0,0.0,0.664
16954,9606.ENSP00000321106 (pp) 9606.ENSP00000418525,pp,9606.ENSP00000321106 (pp) 9606.ENSP00000418525,False,pp,0.721,,0.0,0.0,0.0,0.059,0.0,0.0,0.716
16957,9606.ENSP00000321106 (pp) 9606.ENSP00000419081,pp,9606.ENSP00000321106 (pp) 9606.ENSP00000419081,False,pp,0.788,,0.0,0.0,0.0,0.0,0.0,0.0,0.788
16702,9606.ENSP00000288135 (pp) 9606.ENSP00000338157,pp,9606.ENSP00000288135 (pp) 9606.ENSP00000338157,False,pp,0.6,,0.0,0.0,0.0,0.06,0.052,0.0,0.587
16447,9606.ENSP00000215631 (pp) 9606.ENSP00000330341,pp,9606.ENSP00000215631 (pp) 9606.ENSP00000330341,False,pp,0.531,,0.0,0.0,0.0,0.361,0.0,0.0,0.297
16960,9606.ENSP00000321106 (pp) 9606.ENSP00000369689,pp,9606.ENSP00000321106 (pp) 9606.ENSP00000369689,False,pp,0.791,,0.0,0.0,0.0,0.058,0.0,0.0,0.788
16963,9606.ENSP00000325663 (pp) 9606.ENSP00000330341,pp,9606.ENSP00000325663 (pp) 9606.ENSP00000330341,False,pp,0.626,,0.0,0.0,0.0,0.385,0.0,0.0,0.416
16708,9606.ENSP00000288135 (pp) 9606.ENSP00000418525,pp,9606.ENSP00000288135 (pp) 9606.ENSP00000418525,False,pp,0.745,,0.0,0.0,0.0,0.103,0.0,0.0,0.728
16966,9606.ENSP00000325663 (pp) 9606.ENSP00000386165,pp,9606.ENSP00000325663 (pp) 9606.ENSP00000386165,False,pp,0.672,,0.0,0.0,0.0,0.207,0.062,0.0,0.595
16711,9606.ENSP00000288135 (pp) 9606.ENSP00000300305,pp,9606.ENSP00000288135 (pp) 9606.ENSP00000300305,False,pp,0.773,,0.0,0.0,0.0,0.083,0.0,0.0,0.762
16969,9606.ENSP00000325663 (pp) 9606.ENSP00000385675,pp,9606.ENSP00000325663 (pp) 9606.ENSP00000385675,False,pp,0.721,,0.0,0.0,0.0,0.259,0.292,0.0,0.511
16972,9606.ENSP00000330341 (pp) 9606.ENSP00000369571,pp,9606.ENSP00000330341 (pp) 9606.ENSP00000369571,False,pp,0.59,,0.0,0.0,0.0,0.055,0.0,0.5,0.203
16717,9606.ENSP00000288135 (pp) 9606.ENSP00000377265,pp,9606.ENSP00000288135 (pp) 9606.ENSP00000377265,False,pp,0.776,,0.0,0.0,0.0,0.078,0.0,0.75,0.106
16975,9606.ENSP00000330341 (pp) 9606.ENSP00000369574,pp,9606.ENSP00000330341 (pp) 9606.ENSP00000369574,False,pp,0.591,,0.0,0.0,0.0,0.055,0.0,0.5,0.204
16720,9606.ENSP00000288135 (pp) 9606.ENSP00000385675,pp,9606.ENSP00000288135 (pp) 9606.ENSP00000385675,False,pp,0.781,,0.0,0.0,0.0,0.068,0.0,0.0,0.774
16978,9606.ENSP00000330341 (pp) 9606.ENSP00000484479,pp,9606.ENSP00000330341 (pp) 9606.ENSP00000484479,False,pp,0.599,,0.0,0.0,0.0,0.055,0.0,0.5,0.22
