gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj,abs_log2FC
ENSG00000251095.8,ENSG00000251095,165.0106183312512,1.418586384398665,0.2392279138904407,1.3039052056353527e-10,1.137461706136001e-06,1.418586384398665
ENSG00000148677.7,ANKRD1,152.4603190678546,2.248587662952306,0.4761313490928998,2.027073980511229e-08,0.0001178878657932,2.248587662952306
ENSG00000109193.12,SULT1E1,90.18013866937075,3.816689413913533,0.9103922770407648,3.6700791060869166e-08,0.0001600796754097,3.816689413913533
ENSG00000290596.1,ENSG00000290596,58.28468188359855,2.062398960530281,0.4550938395096917,1.672740218310588e-07,0.0005681375580836,2.062398960530281
ENSG00000119703.15,ZC2HC1C,284.7596385666725,0.7981751133717222,0.1766411262913189,2.866303738199587e-07,0.0006315265755321,0.7981751133717222
ENSG00000128342.5,LIF,155.3989715532607,1.783372893898878,0.4098589914870537,2.9971287046629324e-07,0.0006315265755321,1.783372893898878
ENSG00000130303.14,BST2,504.6089949913038,2.313624162630936,0.5285392751584365,3.257717189080741e-07,0.0006315265755321,2.313624162630936
ENSG00000198865.10,CCDC152,249.4027823833047,2.2547798621935247,0.5495427037019468,4.860172630909537e-07,0.0007708675626498,2.2547798621935247
ENSG00000166228.9,PCBD1,684.9145212509488,0.7623810251654817,0.1781212535095527,8.323196870791719e-07,0.0011170370446514,0.7623810251654817
ENSG00000069011.16,PITX1,69.96456103180861,2.5050156127480614,0.6182870195242594,1.958002837416068e-06,0.002440091107457,2.5050156127480614
ENSG00000168209.6,DDIT4,3036.571797483332,0.9005804381065553,0.2289177497269037,3.246136545800371e-06,0.003331490842034,0.9005804381065553
ENSG00000170745.12,KCNS3,769.2756739624962,1.178351965250532,0.3051517244830885,4.540004122855608e-06,0.0044005251073034,1.178351965250532
ENSG00000255150.2,EID3,82.49534950315166,0.9944861641556711,0.2609283807051194,5.509331506399939e-06,0.0050590161469556,0.9944861641556711
ENSG00000112667.13,DNPH1,463.6929998163508,0.5384109872085617,0.1426276904893402,7.56728440760588e-06,0.0062869719552142,0.5384109872085617
ENSG00000073331.18,ALPK1,324.8009717408582,0.8579832141195624,0.2344300024087425,1.006156878893468e-05,0.0070217676264217,0.8579832141195624
ENSG00000126803.10,HSPA2,169.7400375886841,2.194027264924278,0.618359502659022,1.081579719183773e-05,0.0072578159079228,2.194027264924278
ENSG00000104953.20,TLE6,141.1502075845672,1.360209033374099,0.3773100525096794,1.187508525679969e-05,0.0076735041657548,1.360209033374099
ENSG00000235169.11,SMIM1,62.54852972022022,0.8977897555321698,0.2497692023262536,1.294391530481127e-05,0.0079636221969722,0.8977897555321698
ENSG00000145247.12,OCIAD2,964.6328991492627,1.030572012113522,0.3036064015297043,1.69705069300694e-05,0.0085293360676833,1.030572012113522
ENSG00000125968.9,ID1,3792.816164755896,1.18991109799133,0.3381042113515405,1.698035510480192e-05,0.0085293360676833,1.18991109799133
ENSG00000099860.9,GADD45B,487.4136963769857,1.260121872951862,0.3808658782170625,1.711049248403263e-05,0.0085293360676833,1.260121872951862
ENSG00000159176.14,CSRP1,1130.54920050331,2.2753051530514727,0.8613542710400096,1.853064735756712e-05,0.0089806723457631,2.2753051530514727
ENSG00000186212.4,SOWAHB,105.4706587960022,1.232513876954666,0.360688457914979,2.026327155009203e-05,0.009303507861433,1.232513876954666
ENSG00000144802.11,NFKBIZ,354.8523901621979,1.1314381804655187,0.3301669700791172,2.2543814254171935e-05,0.0100851776228855,1.1314381804655187
ENSG00000114480.13,GBE1,847.9275363349077,0.7222463683828663,0.2101108525754057,2.426642424689687e-05,0.0103262513130635,0.7222463683828663
ENSG00000171291.9,ZNF439,237.0835132317399,1.411886718090868,0.427137969353686,3.239135537241307e-05,0.0134555232662497,1.411886718090868
ENSG00000102755.13,FLT1,104.5164342114326,2.208542157862549,0.7990164188297633,3.483060715061779e-05,0.0138111273399278,2.208542157862549
ENSG00000171223.6,JUNB,496.5380800880715,1.063338645512119,0.3370937794875155,4.777113115626045e-05,0.0181187592452886,1.063338645512119
ENSG00000152785.8,BMP3,118.7831589035293,1.31345834871127,0.4247700109711313,5.1560520086458954e-05,0.018741174873926,1.31345834871127
ENSG00000184489.13,PTP4A3,397.17309688123055,1.037873341806192,0.3272743165683423,5.394367819053292e-05,0.0192072521100046,1.037873341806192
ENSG00000137868.19,STRA6,253.0845107721541,1.544095873747791,0.5093379867132555,5.814902264898147e-05,0.019892666630525,1.544095873747791
ENSG00000165507.9,DEPP1,145.7673937604893,1.021417716806338,0.3308573999169622,7.070938273145142e-05,0.0220297607234934,1.021417716806338
ENSG00000126709.16,IFI6,811.2081615702042,0.7835652863518549,0.257664015793491,8.014815283912916e-05,0.0244275935285956,0.7835652863518549
ENSG00000249669.12,CARMN,46.55254742581114,1.44227767345762,0.4800137050592467,8.120596232352572e-05,0.0244275935285956,1.44227767345762
ENSG00000154734.16,ADAMTS1,977.3111246079357,1.486780585847898,0.4980875283781591,8.978878710104694e-05,0.0260762996355821,1.486780585847898
ENSG00000140057.9,AK7,746.8168502337397,1.0642722641582727,0.3543172172357919,9.117064697486784e-05,0.0260762996355821,1.0642722641582727
ENSG00000132321.17,IQCA1,144.1326247329098,1.040500754908998,0.3471206645037814,9.332930708944936e-05,0.0262631680772518,1.040500754908998
ENSG00000006128.12,TAC1,8030.171905224326,1.061436867931391,0.3582636368970065,9.831187430781784e-05,0.0271147337852988,1.061436867931391
ENSG00000221869.5,CEBPD,381.0214409925144,1.310341624958175,0.4584471808415768,0.0001030574129761,0.0276621951414725,1.310341624958175
ENSG00000185745.10,IFIT1,272.5780673307295,1.138984449568264,0.3946581895661575,0.0001114812043653,0.029469887463068,1.138984449568264
ENSG00000132386.11,SERPINF1,3167.999258209889,1.165635585083669,0.4129374712203771,0.000129689938998,0.0334919537182018,1.165635585083669
ENSG00000163191.6,S100A11,444.00402559077406,0.8795395643109895,0.3113585283906731,0.0001442209104193,0.0346823713128021,0.8795395643109895
ENSG00000198759.12,EGFL6,1253.705184709263,1.111082441114638,0.3999954206090767,0.0001452343274113,0.0346823713128021,1.111082441114638
