gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000141314.13,RHBDL3,489.35248193685652,-1.504964152221576,0.2200057174136103,3.4401869547563602e-13,6.0020941799634207e-09
ENSG00000251095.8,ENSG00000251095,165.01061833125121,1.418586384398665,0.23922791389044071,1.3039052056353529e-10,1.137461706136001e-06
ENSG00000148677.7,ANKRD1,152.46031906785461,2.2485876629523061,0.47613134909289989,2.027073980511229e-08,0.0001178878657932647
ENSG00000109193.12,SULT1E1,90.180138669370763,3.816689413913533,0.91039227704076475,3.6700791060869172e-08,0.00016007967540974599
ENSG00000290596.1,ENSG00000290596,58.284681883598552,2.062398960530281,0.45509383950969179,1.672740218310588e-07,0.0005681375580836737
ENSG00000242268.3,LINC02082,34.978346987379062,-1.8419458594353371,0.40848729087560248,1.9538174749252261e-07,0.0005681375580836737
ENSG00000119703.15,ZC2HC1C,284.75963856667249,0.7981751133717222,0.1766411262913189,2.866303738199587e-07,0.00063152657553212997
ENSG00000128342.5,LIF,155.39897155326071,1.783372893898878,0.40985899148705379,2.9971287046629318e-07,0.00063152657553212997
ENSG00000130303.14,BST2,504.6089949913038,2.3136241626309362,0.52853927515843657,3.2577171890807408e-07,0.00063152657553212997
ENSG00000124491.16,F13A1,373.55286840769418,-0.037680463959428097,0.093781925061785995,4.613492133019008e-07,0.00077086756264980625
ENSG00000198865.10,CCDC152,249.4027823833047,2.2547798621935251,0.5495427037019468,4.8601726309095369e-07,0.00077086756264980625
ENSG00000135824.13,RGS8,2832.508601136275,-1.0514804811657841,0.24074140145837589,5.3194915268580683e-07,0.00077340973890910607
ENSG00000166228.9,PCBD1,684.91452125094884,0.76238102516548178,0.17812125350955271,8.3231968707917186e-07,0.0011170370446514999
ENSG00000069011.16,PITX1,69.964561031808614,2.5050156127480618,0.61828701952425935,1.9580028374160678e-06,0.002440091107457
ENSG00000107863.20,ARHGAP21,6073.8019153642563,-0.55950634285350342,0.13809962258862049,2.3839948996459751e-06,0.0027729039342748001
