gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000112619.8,PRPH2,96.50592199989876,-5.9229299000458679,0.57666617233844153,4.5265924279617646e-25,7.9287792968178279e-21
ENSG00000253537.3,PCDHGA7,215.13920374133249,5.9802559749352016,0.63237441531748073,1.8413993702362159e-22,1.6126975684528781e-18
ENSG00000290588.1,ENSG00000290588,70.758860034011263,5.5706195906531706,0.58617547023531424,9.682712211018425e-22,5.6534129029399579e-18
ENSG00000293514.1,CUTALP,679.25014229752128,-1.1055719531543331,0.1197409813366198,1.443354356842704e-21,6.3204487286142023e-18
ENSG00000253731.3,PCDHGA6,248.1761112691984,5.6175409254582913,0.69166759231239439,2.1975037766556369e-17,7.6982952303800232e-14
ENSG00000115414.21,FN1,480.15810764839961,-2.6397669439270182,0.33811735379249153,2.7952048961800812e-16,8.1601348269150536e-13
ENSG00000274276.6,ENSG00000274276,56.453103875495557,3.390267123655279,0.44289158293235859,1.247885904450956e-15,3.1225670717661342e-12
ENSG00000180616.9,SSTR2,3397.4108984630998,1.286360312068112,0.16979741918250199,1.8453694581273881e-15,4.0404364285699173e-12
ENSG00000269821.2,KCNQ1OT1,756.27834487142945,1.2202501175642499,0.1648362104089369,6.7743071792816316e-15,1.318430717247745e-11
ENSG00000137713.16,PPP2R1B,747.28038768367151,0.82807369660338404,0.1165221702354643,6.7861403991817973e-14,1.1886603523206841e-10
ENSG00000249378.8,LINC01060,94.824373896306923,8.6998189191173996,1.30334316073546,7.8783887286423714e-14,1.2545259724627249e-10
ENSG00000254681.7,PKD1P5,226.18486151710371,1.9820429862254589,0.28249737496564448,1.093855570643338e-13,1.596664514615725e-10
ENSG00000183793.14,NPIPA5,41.376647688921281,-3.1935803861153471,0.45758174104775212,1.96257948559003e-13,2.6443494053534588e-10
ENSG00000180346.5,TIGD2,419.72223672197941,0.94968858259369959,0.13708083911327859,2.3457257398148692e-13,2.9348380041855181e-10
ENSG00000291093.1,SVIL-AS1,329.97216490814083,1.8313174346170009,0.26578821413486547,2.6284120693754012e-13,3.0692843871453013e-10
ENSG00000213025.2,COX20P1,47.611664211507353,-6.3081017311684571,0.89931926337472634,1.34116929040855e-12,1.394380659100428e-09
ENSG00000183426.17,NPIPA1,279.91255320820289,1.2366469270406131,0.1855900789386751,1.353303905269884e-12,1.394380659100428e-09
ENSG00000253846.3,PCDHGA10,142.62700807234751,2.8547110475057398,0.43120528577114381,1.6205696880293209e-12,1.5769943697511989e-09
ENSG00000007062.12,PROM1,390.98565427607122,1.42992813766603,0.21745415230795809,2.38367078062538e-12,2.1974935470228512e-09
ENSG00000291258.1,ENSG00000291258,60.188894089016763,-4.4644130082556854,0.67870598719184838,2.8989874206006771e-12,2.5389331829620731e-09
ENSG00000187627.18,RGPD1,40.903575370818061,5.0832348886267349,0.76768186695560836,6.0049322991324176e-12,5.0086854357906404e-09
ENSG00000112599.9,GUCA1B,77.571444095674053,1.882935687151845,0.29383514248921871,7.7796221557145752e-12,5.9335432446790701e-09
ENSG00000003096.15,KLHL13,1312.263425522561,1.0266914294287171,0.16025061221373341,7.791247695114102e-12,5.9335432446790701e-09
ENSG00000183682.8,BMP8A,210.80896133207781,-2.0478987775339279,0.3248396662690578,1.3156592696656251e-11,9.6021199031096208e-09
ENSG00000117335.21,CD46,1867.1977257438721,0.80990926001572838,0.13135295261234611,3.9619511782000399e-11,2.7759014734940771e-08
