"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"243","10","Monarch Phenotype","","Blindness","2.0E-4","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|ZNF513|PCARE|AIPL1|PROM1|PRCD","13575","13759|13895|13879|13919|13851|13935|13967|13651|13775|13947","3.8E-7","","HP:0000618","0.631210526006782","0"
"317","11","Monarch Phenotype","","Abnormality of the curvature of the cornea","2.5E-4","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|TYR|ZNF513|PCARE|AIPL1|PROM1|PRCD","13575","13759|13895|13879|13919|13851|13951|13935|13967|13651|13775|13947","4.95E-7","","HP:0100691","0.6146733223488897","0"
"332","11","Monarch Phenotype","","Abnormality of retinal pigmentation","3.8E-4","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|TYR|ZNF513|PCARE|AIPL1|PROM1|PRCD","13575","13759|13895|13879|13919|13851|13951|13935|13967|13651|13775|13947","7.69E-7","","HP:0007703","0.5836426336266155","0"
"335","11","Monarch Phenotype","","Retinal dystrophy","3.9E-4","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|GAS8|ZNF513|PCARE|AIPL1|PROM1|PRCD","13575","13759|13895|13879|13919|13851|13683|13935|13967|13651|13775|13947","8.37E-7","","HP:0000556","0.5817175862468744","0"
"339","11","Monarch Phenotype","","Conductive hearing impairment","4.2E-4","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|GAS8|ZNF513|PCARE|DVL1|PROM1|PRCD","13575","13759|13895|13879|13919|13851|13683|13935|13967|13679|13775|13947","9.37E-7","","HP:0000405","0.5762254327835022","0"
"342","11","Monarch Phenotype","","Functional abnormality of the middle ear","4.4E-4","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|GAS8|ZNF513|PCARE|DVL1|PROM1|PRCD","13575","13759|13895|13879|13919|13851|13683|13935|13967|13679|13775|13947","1.02E-6","","HP:0011452","0.5727778271135571","0"
"34","5","Monarch Phenotype","","Undetectable electroretinogram","4.9E-4","TULP1|RPE65|PROM1|PRCD|CYP2D6","13575","13895|13851|13775|13947|13631","1.16E-6","","HP:0000550","0.5648013016746612","0"
"357","11","Monarch Phenotype","","Abnormal circulating hormone concentration","6.0E-4","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|ZNF513|TPO|PCARE|PROM1|PRCD|ABCC8","13575","13759|13895|13879|13919|13851|13935|13615|13967|13775|13947|13803","1.53E-6","","HP:0003117","0.5497921966319608","0"
"165","8","Monarch Phenotype","","Abnormal macular morphology","7.0E-4","IMPG2|GUCA1B|CNGB1|RPE65|TYR|AIPL1|PROM1|PRCD","13575","13759|13879|13919|13851|13951|13651|13775|13947","1.84E-6","","HP:0001103","0.5383680655231197","0"
"74","6","Monarch Phenotype","","Macular degeneration","8.4E-4","GUCA1B|CNGB1|RPE65|AIPL1|PROM1|PRCD","13575","13879|13919|13851|13651|13775|13947","2.35E-6","","HP:0000608","0.5248561862948465","0"
