"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"123","6","Reactome Pathways","","SARS-CoV-2 activates/modulates innate and adaptive immune responses","9.8E-4","STAT2|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6325|6457|6421|6469|6417|6441","3.45E-6","","HSA-9705671","0.3008773924307505","0"
"32","4","STRING Clusters","","Mixed, incl. Basic region leucin zipper, and Early growth response, N-terminal","0.0012","CSRNP1|JUNB|FOS|ZFP36","6293","6377|6365|6349|6337","5.12E-6","","CL:18504","0.29208187539523756","0"
"2609","23","GO Biological Process","","Cellular response to chemical stimulus","0.0013","SERPINF1|FLT1|JUNB|FOS|DDIT4|STAT2|TAC1|SOCS3|ANKRD1|IFIT1|ID1|IFNA8|IFNA10|IFNA14|IFNA21|HSPA2|MME|TIPARP|PTP4A3|ZFP36|IFI27|IFNA5|IFITM2","6293","6353|6445|6365|6349|6357|6325|6329|6517|6489|6549|6553|6457|6421|6469|6417|6473|6409|6449|6381|6337|6481|6441|6493","2.87E-6","","GO:0070887","0.2886056647693163","0"
"140","6","STRING Clusters","","Mixed, incl. Basic-leucine zipper domain, and MAPK signaling pathway","0.0015","GADD45B|CSRNP1|JUNB|FOS|ID1|ZFP36","6293","6505|6377|6365|6349|6553|6337","7.05E-6","","CL:18396","0.28239087409443187","0"
"76","5","GO Biological Process","","T cell activation involved in immune response","0.0025","IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6457|6421|6469|6417|6441","5.96E-6","","GO:0002286","0.26020599913279624","0"
"5584","35","GO Biological Process","","Positive regulation of cellular process","0.0025","GADD45B|SULT1E1|DNPH1|LIF|BST2|SERPINF1|PITX1|S100A11|CSRNP1|FLT1|BMP3|ADAMTS1|PCBD1|JUNB|FOS|DDIT4|STAT2|TAC1|NFKBIZ|SOCS3|ANKRD1|ID1|IFNA8|IFNA10|IFNA14|IFNA21|EGFL6|HSPA2|CEBPD|MME|OCIAD2|PTP4A3|ZFP36|IFNA5|ALPK1","6293","6505|6437|6341|6401|6405|6353|6345|6477|6377|6445|6537|6525|6561|6365|6349|6357|6325|6329|6425|6517|6489|6553|6457|6421|6469|6417|6497|6473|6501|6409|6557|6381|6337|6441|6521","5.69E-6","","GO:0048522","0.26020599913279624","0"
"349","7","KEGG Pathways","","PI3K-Akt signaling pathway","0.0025","FLT1|DDIT4|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6445|6357|6457|6421|6469|6417|6441","1.4E-4","","hsa04151","0.26020599913279624","0"
"1108","14","GO Biological Process","","Regulation of protein phosphorylation","0.0037","GADD45B|LIF|HERC5|FLT1|BMP3|DDIT4|STAT2|SOCS3|IFNA8|IFNA10|IFNA14|IFNA21|HSPA2|IFNA5","6293","6505|6401|6529|6445|6537|6357|6325|6517|6457|6421|6469|6417|6473|6441","9.11E-6","","GO:0001932","0.2431798275933005","0"
"146","6","GO Biological Process","","Leukocyte proliferation","0.0037","JUNB|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6365|6457|6421|6469|6417|6441","8.88E-6","","GO:0070661","0.2431798275933005","0"
"165","5","KEGG Pathways","","Tuberculosis","0.0037","IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6457|6421|6469|6417|6441","2.1E-4","","hsa05152","0.2431798275933005","0"
"3246","25","GO Biological Process","","Animal organ development","0.0039","LIF|SERPINF1|HERC6|PITX1|CSRNP1|FLT1|BMP3|ADAMTS1|JUNB|FOS|DDIT4|SOCS3|ANKRD1|ID1|IFNA8|IFNA10|IFNA14|IFNA21|TAGLN|CEBPD|MME|TIPARP|STRA6|ZFP36|IFNA5","6293","6401|6353|6413|6345|6377|6445|6537|6525|6365|6349|6357|6517|6489|6553|6457|6421|6469|6417|6541|6501|6409|6449|6545|6337|6441","1.0E-5","","GO:0048513","0.24089353929735008","0"
"515","8","KEGG Pathways","","Pathways in cancer","0.0041","GADD45B|FOS|STAT2|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6505|6349|6325|6457|6421|6469|6417|6441","2.5E-4","","hsa05200","0.23872161432802647","0"
"1321","15","GO Biological Process","","Immune response","0.0056","LIF|BST2|HERC5|STAT2|TAC1|IFI6|IFIT1|IFNA8|IFNA10|IFNA14|IFNA21|IFI27|IFNA5|IFITM2|ALPK1","6293","6401|6405|6529|6325|6329|6565|6549|6457|6421|6469|6417|6481|6441|6493|6521","1.45E-5","","GO:0006955","0.22518119729937996","0"
"94","5","GO Biological Process","","Negative regulation of viral process","0.0059","BST2|IFIT1|LY6E|ZFP36|IFITM2","6293","6405|6549|6429|6337|6493","1.59E-5","","GO:0048525","0.22291479883578558","0"
"861","12","GO Biological Process","","Response to organic cyclic compound","0.0062","SERPINF1|FOS|DDIT4|IFIT1|ID1|IFNA8|IFNA10|IFNA14|IFNA21|TIPARP|ZFP36|IFNA5","6293","6353|6349|6357|6549|6553|6457|6421|6469|6417|6449|6337|6441","1.71E-5","","GO:0014070","0.2207608310501746","0"
"107","5","Reactome Pathways","","Interleukin-4 and Interleukin-13 signaling","0.0073","LIF|JUNB|FOS|SOCS3|CEBPD","6293","6401|6365|6349|6517|6501","2.89E-5","","HSA-6785807","0.21366771398795442","0"
"5899","35","GO Biological Process","","Regulation of primary metabolic process","0.0076","GADD45B|PPP1R3C|TLE6|LIF|BST2|SERPINF1|HERC5|PITX1|S100A11|CSRNP1|FLT1|BMP3|PCBD1|JUNB|ZNF439|FOS|DDIT4|STAT2|SOCS3|IFI6|ANKRD1|ID1|IFNA8|IFNA10|IFNA14|IFNA21|HSPA2|CEBPD|NECAB1|TIPARP|PTP4A3|EID3|ZFP36|IFI27|IFNA5","6293","6505|6389|6465|6401|6405|6353|6529|6345|6477|6377|6445|6537|6561|6365|6433|6349|6357|6325|6517|6565|6489|6553|6457|6421|6469|6417|6473|6501|6361|6449|6381|6369|6337|6481|6441","2.12E-5","","GO:0080090","0.21191864077192085","0"
"336","7","WikiPathways","","PI3K-Akt signaling pathway","0.0076","FLT1|DDIT4|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6445|6357|6457|6421|6469|6417|6441","1.1E-4","","WP4172","0.21191864077192085","0"
"111","4","KEGG Pathways","","TNF signaling pathway","0.008","LIF|JUNB|FOS|SOCS3","6293","6401|6365|6349|6517","5.0E-4","","hsa04668","0.20969100130080562","0"
"6249","36","GO Biological Process","","Regulation of macromolecule metabolic process","0.0096","GADD45B|PPP1R3C|TLE6|LIF|BST2|SERPINF1|HERC5|PITX1|S100A11|CSRNP1|FLT1|BMP3|PCBD1|JUNB|ZNF439|FOS|DDIT4|STAT2|NFKBIZ|SOCS3|IFI6|ANKRD1|ID1|IFNA8|IFNA10|IFNA14|IFNA21|HSPA2|CEBPD|NECAB1|TIPARP|PTP4A3|EID3|ZFP36|IFI27|IFNA5","6293","6505|6389|6465|6401|6405|6353|6529|6345|6477|6377|6445|6537|6561|6365|6433|6349|6357|6325|6425|6517|6565|6489|6553|6457|6421|6469|6417|6473|6501|6361|6449|6381|6369|6337|6481|6441","2.83E-5","","GO:0060255","0.20177287669604316","0"
"120","4","KEGG Pathways","","Osteoclast differentiation","0.0097","JUNB|FOS|STAT2|SOCS3","6293","6365|6349|6325|6517","6.6E-4","","hsa04380","0.20132282657337552","0"
"324","6","KEGG Pathways","","Human papillomavirus infection","0.0097","STAT2|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6325|6457|6421|6469|6417|6441","6.3E-4","","hsa05165","0.20132282657337552","0"
"217","5","KEGG Pathways","","Human cytomegalovirus infection","0.0099","IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6457|6421|6469|6417|6441","7.1E-4","","hsa05163","0.200436480540245","0"
"5734","34","GO Biological Process","","Regulation of nitrogen compound metabolic process","0.0109","GADD45B|TLE6|LIF|BST2|SERPINF1|HERC5|PITX1|S100A11|CSRNP1|FLT1|BMP3|PCBD1|JUNB|ZNF439|FOS|DDIT4|STAT2|SOCS3|IFI6|ANKRD1|ID1|IFNA8|IFNA10|IFNA14|IFNA21|HSPA2|CEBPD|NECAB1|TIPARP|PTP4A3|EID3|ZFP36|IFI27|IFNA5","6293","6505|6465|6401|6405|6353|6529|6345|6477|6377|6445|6537|6561|6365|6433|6349|6357|6325|6517|6565|6489|6553|6457|6421|6469|6417|6473|6501|6361|6449|6381|6369|6337|6481|6441","3.26E-5","","GO:0051171","0.19625735020593765","0"
