gene_id,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000148677.7,ANKRD1,240.616103255719,3.2333359260199401,0.50157342780989,6.4463860060095897,1.14548698829023e-10,2.7786077874956201e-06
ENSG00000163739.5,CXCL1,1013.61713985989,4.1507857450343604,0.75441062903809497,5.5020244748231999,3.7545481771947097e-08,0.00045537037567099998
ENSG00000273079.7,GRIN2B,2969.3461723533001,-2.2554057191824199,0.42350351162807298,-5.32558917991489,1.00626330536381e-07,0.00075214022633779995
ENSG00000205622.13,ETS2-AS1,543.34445076198006,3.8608974406886301,0.73019932013593403,5.2874569096693804,1.24028565170931e-07,0.00075214022633779995
ENSG00000099860.9,GADD45B,775.982329972927,2.1115707978792502,0.40503268611045201,5.2133343068105704,1.8547620039878999e-07,0.00089981923861460003
ENSG00000102755.13,FLT1,149.379566836447,3.7305376697349799,0.75285637207524403,4.9551784485157198,7.2263936837950999e-07,0.0029215105264636001
ENSG00000268104.3,SLC6A14,80.473585703786,5.06460008668562,1.0443085362901099,4.8497162578767403,1.2363820703817801e-06,0.0042844171258928998
ENSG00000229962.2,ENSG00000229962,18.979608774636201,7.8760047289959498,1.6632072289014399,4.7354319967681304,2.1858899115945202e-06,0.0066278914481935
ENSG00000253888.2,ENSG00000253888,211.910072509451,4.1361345145044801,0.88643602983644099,4.6660270739081398,3.0707925753625099e-06,0.0082764683889519994
ENSG00000188624.3,IGFL3,69.736470038797705,5.3020063420236596,1.1448833253320401,4.63104512460776,3.63824562108772e-06,0.0088252924030724003
ENSG00000128342.5,LIF,175.79810220328201,2.4721548918481799,0.54581102088081401,4.5293238818422603,5.9172734011834898e-06,0.0130486637175007
ENSG00000149591.17,TAGLN,1971.8706615339199,2.6804880697739799,0.59559236438347596,4.5005413602786497,6.7780613877837199e-06,0.0137012862569558
ENSG00000170786.13,SDR16C5,108.192769526345,4.13475767824107,0.93599269017249698,4.4175106511558999,9.9844151906082102e-06,0.018630150713737199
ENSG00000078401.7,EDN1,130.97577039578101,2.7072675626173801,0.62044158697132901,4.36345277213419,1.2802558919649101e-05,0.0221822622652805
