gene_id,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000141314.13,RHBDL3,486.44810092584402,-1.5607621140622701,0.23790865093708699,-6.5603419964539196,5.3684511224601297e-11,1.07787761636755e-06
ENSG00000109193.12,SULT1E1,90.181224284010597,4.2133678629953701,0.71345562213672997,5.9055780517598802,3.5141235810450899e-09,3.37957443561905e-05
ENSG00000251095.8,ENSG00000251095,164.61072062977601,1.49867367353598,0.256379562443248,5.8455270742094498,5.0496679484296999e-09,3.37957443561905e-05
ENSG00000148677.7,ANKRD1,152.232240029888,2.42478239057845,0.42234889280774401,5.7411832536334604,9.4017280993349929e-09,4.7191974194612e-05
ENSG00000124491.16,F13A1,371.554610028779,-3.1320375902857398,0.58756999323711001,-5.33049275207257,9.7946642648040697e-08,0.00039331453821739998
ENSG00000130303.14,BST2,505.59283012565197,2.5328939324085198,0.47925378974653898,5.2850785671367904,1.2565081843242201e-07,0.00040692933117169997
ENSG00000290596.1,ENSG00000290596,58.2500241388218,2.2497009702410899,0.42747162896040802,5.2628076761778502,1.4187196524566401e-07,0.00040692933117169997
ENSG00000198865.10,CCDC152,248.979976742898,2.4895683677367599,0.47922858661464202,5.1949496279500398,2.0477527880549499e-07,0.00051393475598200005
ENSG00000128342.5,LIF,155.292496174527,1.9592286805921699,0.38104006310261901,5.1417918227263204,2.7213055487762199e-07,0.00060709303120359999
ENSG00000069011.16,PITX1,69.868076909210103,2.78787627993173,0.55865425670596802,4.9903428577991704,6.0272215893480301e-07,0.0011760595772675
ENSG00000242268.3,LINC02082,34.845257881557004,-2.0028904308449702,0.40239398945189703,-4.97743625239809,6.4431991980991201e-07,0.0011760595772675
ENSG00000171540.8,OTP,37.889649803348597,-3.4335258733614,0.72995577597766403,-4.7037450573806501,2.5543217400294398e-06,0.0042355798417630002
ENSG00000135824.13,RGS8,2827.0349185974001,-1.14953592762176,0.24514417384640899,-4.6892239353890801,2.7424314146289402e-06,0.0042355798417630002
ENSG00000089280.19,FUS,1043.2947942142901,-1.4977963633592799,0.32449534956044201,-4.6157714290456804,3.9163780355144501e-06,0.0052674504914665002
ENSG00000126803.10,HSPA2,170.022091078736,2.5002679679366899,0.54179645228072904,4.6147736062346798,3.9352404309193403e-06,0.0052674504914665002
ENSG00000159176.14,CSRP1,1130.8900456066799,2.7888053331845102,0.61596645432862296,4.5275279418003098,5.96777120227188e-06,0.0074888068874508999
ENSG00000008196.13,TFAP2B,247.93598195468201,-2.2507965369631102,0.50211313534861801,-4.4826481892380103,7.3722413872850196e-06,0.0087070507396416006
ENSG00000170745.12,KCNS3,769.90434460344704,1.3228787021394901,0.29954986997931299,4.4162219206800097,1.00440968164921e-05,0.0112036319934182
ENSG00000102755.13,FLT1,104.693571647094,2.6688096145946298,0.60839471327962302,4.3866416922134404,1.15114186259689e-05,0.012061464767765401
ENSG00000196263.8,ZNF471,583.64603934989395,-1.8734129256359999,0.42798146161448902,-4.3773226031072996,1.2014607797355701e-05,0.012061464767765401
ENSG00000275678.1,ENSG00000275678,20.030721644426301,3.4748624664477301,0.80029229790209699,4.3419916392508204,1.41196907586538e-05,0.013122352495134101
ENSG00000104953.20,TLE6,140.97763162490901,1.5476573726382601,0.35703369771233501,4.3347655488956702,1.45915551807338e-05,0.013122352495134101
ENSG00000170561.13,IRX2,647.14333157915996,-1.2105014747657299,0.28013045430188499,-4.3212062672101403,1.5517852564338399e-05,0.013122352495134101
ENSG00000168209.6,DDIT4,3026.7842367686499,1.0069232251498501,0.23314706774866301,4.3188328932162898,1.5685648963204399e-05,0.013122352495134101
ENSG00000099860.9,GADD45B,487.02635147797798,1.45249396996733,0.33994799194640202,4.2726946602947997,1.9312483015851299e-05,0.015510241359690501
ENSG00000119703.15,ZC2HC1C,284.16342879917801,0.87420029022267798,0.205218822279567,4.2598445917975596,2.0456908956774101e-05,0.015797454539773499
ENSG00000125968.9,ID1,3790.6558915114501,1.3566692281052,0.32143738202951599,4.2206330189082397,2.4361725340346799e-05,0.0181161007919808
ENSG00000171291.9,ZNF439,236.61710924418901,1.6321371735608601,0.388779585625948,4.1981041029535104,2.6915890079013399e-05,0.019300615750229701
ENSG00000166228.9,PCBD1,683.399966014195,0.84178714685315703,0.20165632187138699,4.1743652717718103,2.9881799235614499e-05,0.020688509139747201
ENSG00000186212.4,SOWAHB,105.36297813546,1.4183370540131199,0.34042797456130203,4.1663352015676303,3.09535469447128e-05,0.020716177185198099
ENSG00000170549.4,IRX1,226.61409596655,-1.22232117351076,0.29458560680553703,-4.1492902072355502,3.3350778165367603e-05,0.021600545935621
ENSG00000137868.19,STRA6,252.99216201824501,1.826138099662,0.44225156601648802,4.1291840210101398,3.6405294477417597e-05,0.022565916881289599
ENSG00000145247.12,OCIAD2,964.08060579646497,1.18928089784138,0.288317305562097,4.12490292777529,3.7089115304440499e-05,0.022565916881289599
ENSG00000144802.11,NFKBIZ,355.28717798185602,1.30111351281442,0.31681922741514901,4.1068009774213898,4.0117661163840001e-05,0.023690658848458199
ENSG00000152785.8,BMP3,118.437425458513,1.5439914037417199,0.38178391256785099,4.04414998357825,5.2513295683895503e-05,0.0301246271640358
ENSG00000272674.4,PCDHB16,164.51994443308999,-1.67630493697117,0.41633587356559798,-4.0263283646804204,5.6654558781322899e-05,0.030231300413640801
ENSG00000259280.2,ENSG00000259280,53.148692818310501,-1.63757088637117,0.40729210659459703,-4.0206300585175496,5.8042693557638001e-05,0.030231300413640801
