Unnamed: 0,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,status,abs_log2FC
ENSG00000221946.8,FXYD7,168.311093803699,1.85416663072423,0.289059029839913,6.41449129525933,1.4129386339673e-10,7.22699996676401e-08,Up-regulated,1.85416663072423
ENSG00000187627.18,RGPD1,38.4693782122645,5.31004322011991,0.828592694309313,6.40850837400417,1.46950209905346e-10,7.32840696797959e-08,Up-regulated,5.31004322011991
ENSG00000171163.16,ZNF692,399.613889060979,0.896239363933247,0.140838226994849,6.36360868108648,1.97067835155296e-10,9.58807116018986e-08,Not Significant,0.896239363933247
ENSG00000227232.6,WASH7P,210.556301035761,0.89907494387879,0.141664599970012,6.34650395419255,2.2026288822784701e-10,1.02181490566723e-07,Not Significant,0.89907494387879
ENSG00000164877.19,MICALL2,331.328873653343,1.07463700208726,0.169530129048333,6.33891455235596,2.31389515351531e-10,1.04903592096189e-07,Up-regulated,1.07463700208726
ENSG00000226686.10,LINC01535,53.7147267214457,4.12659784055083,0.653545686971305,6.31416888339439,2.71617198347683e-10,1.20404886058657e-07,Up-regulated,4.12659784055083
ENSG00000009950.16,MLXIPL,236.338867879628,1.18021088684523,0.187117947309551,6.30730992838862,2.83926925354368e-10,1.23125528412368e-07,Up-regulated,1.18021088684523
ENSG00000255085.9,ENSG00000255085,43.2286709495886,7.06549968843992,1.12649030024671,6.2721353986737,3.56129671974982e-10,1.4800155617827e-07,Up-regulated,7.06549968843992
ENSG00000253846.3,PCDHGA10,150.842915938492,2.97455470091385,0.478390230767968,6.21784164810129,5.04039836724353e-10,2.05195646183212e-07,Up-regulated,2.97455470091385
ENSG00000100197.23,CYP2D6,95.3565067067787,1.55807374650008,0.250733642331477,6.21405939790185,5.16329955523411e-10,2.0599499905562e-07,Up-regulated,1.55807374650008
ENSG00000198089.16,SFI1,554.289214432278,1.09270241558421,0.176618922723216,6.18677998221411,6.14055743949297e-10,2.40180078045109e-07,Up-regulated,1.09270241558421
ENSG00000075651.17,PLD1,284.787542156591,0.878688247295809,0.142368391223316,6.17193352924467,6.74598630536157e-10,2.5878641311414e-07,Not Significant,0.878688247295809
ENSG00000104885.19,DOT1L,918.676095060524,0.757775487257592,0.123271561728645,6.14720440490293,7.88604766758766e-10,2.96812979005733e-07,Not Significant,0.757775487257592
