SUID,shared name,shared interaction,name,selected,interaction,stringdb::score,stringdb::interspecies,stringdb::neighborhood,stringdb::fusion,stringdb::cooccurrence,stringdb::coexpression,stringdb::experiments,stringdb::databases,stringdb::textmining
111104,9606.ENSP00000252593 (pp) 9606.ENSP00000315768,pp,9606.ENSP00000252593 (pp) 9606.ENSP00000315768,False,pp,0.809,,0.0,0.0,0.0,0.291,0.0,0.5,0.506
111362,9606.ENSP00000371471 (pp) 9606.ENSP00000388001,pp,9606.ENSP00000371471 (pp) 9606.ENSP00000388001,False,pp,0.967,,0.0,0.0,0.0,0.818,0.091,0.0,0.821
111365,9606.ENSP00000380073 (pp) 9606.ENSP00000388001,pp,9606.ENSP00000380073 (pp) 9606.ENSP00000388001,False,pp,0.944,,0.0,0.0,0.0,0.643,0.0,0.5,0.714
111110,9606.ENSP00000252593 (pp) 9606.ENSP00000330825,pp,9606.ENSP00000252593 (pp) 9606.ENSP00000330825,False,pp,0.81,,0.0,0.0,0.0,0.553,0.0,0.0,0.594
111116,9606.ENSP00000252593 (pp) 9606.ENSP00000380073,pp,9606.ENSP00000252593 (pp) 9606.ENSP00000380073,False,pp,0.815,,0.0,0.0,0.0,0.31,0.0,0.5,0.507
111374,9606.ENSP00000383199 (pp) 9606.ENSP00000473623,pp,9606.ENSP00000383199 (pp) 9606.ENSP00000473623,False,pp,0.903,,0.0,0.0,0.0,0.044,0.66,0.0,0.725
111122,9606.ENSP00000264346 (pp) 9606.ENSP00000380073,pp,9606.ENSP00000264346 (pp) 9606.ENSP00000380073,False,pp,0.751,,0.0,0.0,0.0,0.428,0.0,0.0,0.582
111125,9606.ENSP00000264346 (pp) 9606.ENSP00000342513,pp,9606.ENSP00000264346 (pp) 9606.ENSP00000342513,False,pp,0.799,,0.0,0.0,0.0,0.631,0.0,0.0,0.479
111383,9606.ENSP00000455469 (pp) 9606.ENSP00000467201,pp,9606.ENSP00000455469 (pp) 9606.ENSP00000467201,False,pp,0.907,,0.0,0.0,0.0,0.0,0.0,0.36,0.861
111128,9606.ENSP00000264346 (pp) 9606.ENSP00000388001,pp,9606.ENSP00000264346 (pp) 9606.ENSP00000388001,False,pp,0.874,,0.0,0.0,0.0,0.772,0.0,0.0,0.47
111131,9606.ENSP00000264346 (pp) 9606.ENSP00000360869,pp,9606.ENSP00000264346 (pp) 9606.ENSP00000360869,False,pp,0.882,,0.0,0.0,0.0,0.78,0.0,0.0,0.487
111134,9606.ENSP00000264346 (pp) 9606.ENSP00000342278,pp,9606.ENSP00000264346 (pp) 9606.ENSP00000342278,False,pp,0.893,,0.0,0.0,0.0,0.784,0.0,0.0,0.529
111137,9606.ENSP00000264346 (pp) 9606.ENSP00000371471,pp,9606.ENSP00000264346 (pp) 9606.ENSP00000371471,False,pp,0.903,,0.0,0.0,0.0,0.79,0.0,0.0,0.56
111140,9606.ENSP00000264346 (pp) 9606.ENSP00000359783,pp,9606.ENSP00000264346 (pp) 9606.ENSP00000359783,False,pp,0.908,,0.0,0.0,0.0,0.792,0.0,0.0,0.578
111149,9606.ENSP00000264554 (pp) 9606.ENSP00000282397,pp,9606.ENSP00000264554 (pp) 9606.ENSP00000282397,False,pp,0.844,,0.0,0.0,0.0,0.055,0.486,0.65,0.191
111152,9606.ENSP00000264554 (pp) 9606.ENSP00000288135,pp,9606.ENSP00000264554 (pp) 9606.ENSP00000288135,False,pp,0.934,,0.0,0.0,0.0,0.073,0.208,0.9,0.214
