Unnamed: 0,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,status,abs_log2FC
ENSG00000092199.19,HNRNPC,8222.20270578523,-0.392003476979731,0.0349504304956228,-11.2159842216772,3.40378574445498e-29,6.7898718030388005e-25,Not Significant,0.392003476979731
ENSG00000112619.8,PRPH2,102.01894902377,-6.03517499598493,0.565944845561031,-10.6638925035215,1.50177491533564e-26,9.98580200370515e-23,Down-regulated,6.03517499598493
ENSG00000293514.1,CUTALP,689.533907487444,-1.1325622461305,0.120904631338619,-9.36740167511463,7.43400177747633e-21,2.9658693491419603e-17,Down-regulated,1.1325622461305
ENSG00000183793.14,NPIPA5,42.5694694994023,-3.32823836085417,0.370528838573173,-8.98240032724713,2.64922931005002e-19,7.26473877930753e-16,Down-regulated,3.32823836085417
ENSG00000242419.6,PCDHGC4,879.249962625379,-0.776814421472466,0.0937601697116443,-8.28512175118207,1.17988319985812e-16,1.96135917256415e-13,Not Significant,0.776814421472466
ENSG00000213025.2,COX20P1,47.2037159711878,-6.58624627811234,0.863707491377462,-7.62555187243824,2.42992575217091e-14,3.0295099315190797e-11,Down-regulated,6.58624627811234
ENSG00000140382.15,HMG20A,1179.35953967322,-0.41514863432049,0.0566867856683738,-7.32355220754925,2.41491580933884e-13,2.67626336470506e-10,Not Significant,0.41514863432049
ENSG00000197894.12,ADH5,3089.96508341337,-0.319298582344302,0.0441078432694712,-7.23904318770675,4.51861137441398e-13,4.74406629983211e-10,Not Significant,0.319298582344302
ENSG00000115414.21,FN1,470.916558369081,-2.72711850394086,0.384636937914693,-7.09011079051825,1.34004677325427e-12,1.1622283927337501e-09,Down-regulated,2.72711850394086
ENSG00000275993.4,ENSG00000275993,451.872597881166,-2.10970808221183,0.298086865766526,-7.07749426257593,1.4678426782466498e-12,1.22002190606934e-09,Down-regulated,2.10970808221183
ENSG00000183682.8,BMP8A,212.032225373584,-2.14804289179173,0.3154847340571,-6.80870628562,9.848030323285219e-12,6.774086513410121e-09,Down-regulated,2.14804289179173
ENSG00000148143.13,ZNF462,1818.67053991119,-0.473157752233033,0.0700753480201172,-6.75212846744905,1.45691781244268e-11,9.68753217420219e-09,Not Significant,0.473157752233033
ENSG00000291258.1,ENSG00000291258,60.4132000108437,-4.66646194739059,0.708280981676607,-6.5884332180491,4.4449209918218096e-11,2.68688739226853e-08,Down-regulated,4.66646194739059
ENSG00000245105.4,A2M-AS1,132.591675823002,-2.28927125087508,0.353606959169403,-6.47405598648967,9.54065241164354e-11,5.59755689139604e-08,Down-regulated,2.28927125087508
ENSG00000146535.14,GNA12,2480.17837466244,-0.360280406605598,0.0559918082829379,-6.43451993522032,1.23864181851769e-10,6.67795324210565e-08,Not Significant,0.360280406605598
ENSG00000205571.15,SMN2,150.295462777377,-1.07582900844559,0.169448471865703,-6.3490038983547,2.1671354294592002e-10,1.02181490566723e-07,Down-regulated,1.07582900844559
ENSG00000112763.17,BTN2A1,1445.54311559065,-0.66945869874772,0.106419518778281,-6.29075104297828,3.15933669599127e-10,1.34090315769434e-07,Not Significant,0.66945869874772
ENSG00000146707.15,POMZP3,309.537208663407,-1.23799664550328,0.206120592905394,-6.00617642348573,1.89949498619508e-09,6.21165999747861e-07,Down-regulated,1.23799664550328
ENSG00000265241.8,RBM8A,2447.73834910255,-0.320102888566456,0.0537421159176462,-5.95627624816592,2.5804999934475102e-09,8.30255062407919e-07,Not Significant,0.320102888566456
ENSG00000116857.17,TMEM9,3433.10981897454,-0.408991882584862,0.0687935737982293,-5.94520476264876,2.76111484625725e-09,8.60604983642807e-07,Not Significant,0.408991882584862
ENSG00000047621.12,C12orf4,860.519797428129,-0.48342090058268,0.0827575753331161,-5.84140966717321,5.17609433358922e-09,1.51842249656526e-06,Not Significant,0.48342090058268
ENSG00000158109.15,TPRG1L,2162.84323795689,-0.440889698434802,0.0765705117491617,-5.75795679515788,8.51381376857626e-09,2.36239081806664e-06,Not Significant,0.440889698434802
ENSG00000144712.13,CAND2,397.209029459939,-0.71756520502539,0.124946202565482,-5.74299330665394,9.30174050933791e-09,2.48104839150965e-06,Not Significant,0.71756520502539
