Unnamed: 0,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,status,abs_log2FC
ENSG00000125503.13,PPP1R12C,864.316238398182,0.954088325025299,0.176400604745599,5.40864543180712,6.35032093386463e-08,1.22986603872555e-05,Not Significant,0.954088325025299
ENSG00000183092.18,BEGAIN,836.224738418247,0.984865289117519,0.183299558978887,5.37298231705487,7.74449263211569e-08,1.48545325986004e-05,Not Significant,0.984865289117519
ENSG00000182173.14,TSEN54,210.965868503226,0.815671468829442,0.152520544502842,5.34794490465671,8.89585342679473e-08,1.69004270626382e-05,Not Significant,0.815671468829442
ENSG00000272927.1,ENSG00000272927,64.578866279726,1.60474869526213,0.300451838680487,5.3411179053182,9.23751482808536e-08,1.7383957150061e-05,Up-regulated,1.60474869526213
ENSG00000183323.13,CCDC125,175.16311516843,0.968991192123374,0.181721156652886,5.33229707520676,9.69781141878408e-08,1.8079620764664e-05,Not Significant,0.968991192123374
ENSG00000160796.18,NBEAL2,765.030610791188,0.96861930084017,0.182211978347845,5.31589256437939,1.06135761762004e-07,1.9603668292856e-05,Not Significant,0.96861930084017
ENSG00000173275.13,ZNF449,222.660258867934,1.20682277705302,0.227216959296192,5.31132350679795,1.08831938326325e-07,1.99172431718672e-05,Up-regulated,1.20682277705302
ENSG00000169683.8,LRRC45,223.862589154394,0.785241119600495,0.148726801607735,5.27975530376536,1.29356522090476e-07,2.34582172969165e-05,Not Significant,0.785241119600495
ENSG00000235703.7,EOLA2-DT,60.9185846938747,1.57904813416519,0.29919678473622,5.277624007749,1.30869639908239e-07,2.35188069990049e-05,Up-regulated,1.57904813416519
ENSG00000276975.4,HYDIN2,13.1426409336353,3.43028410889514,0.653908290648621,5.24581834784905,1.5559014534658e-07,2.77117162444069e-05,Up-regulated,3.43028410889514
ENSG00000290418.1,TPTEP1,24.5961808990296,8.20670262781104,1.57075111449198,5.2246995415727,1.7443812494457e-07,3.02581888382112e-05,Up-regulated,8.20670262781104
ENSG00000221978.13,CCNL2,1895.91882312538,0.801646765943696,0.154291278688755,5.19567128327988,2.03982422464266e-07,3.44472410247577e-05,Not Significant,0.801646765943696
