"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"99","10","Reactome Pathways","","Visual phototransduction","1.1E-4","GUCA1B|TTR|CNGB1|GUCY2D|PDE6A|RPE65|PDE6G|LRAT|GPC4|PDE6B","8815","9211|9007|9243|9415|9287|9195|9271|9439|9419|9175","4.84E-8","","HSA-2187338","0.465776552275943","0"
"26","6","KEGG Pathways","","Phototransduction","1.2E-4","GUCA1B|CNGB1|GUCY2D|PDE6A|PDE6G|PDE6B","8815","9211|9243|9415|9287|9271|9175","3.43E-7","","hsa04744","0.46133028514039165","0"
"235","13","Monarch Phenotype","","Retinal degeneration","1.2E-4","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|GUCY2D|RPE65|LRAT|AIPL1|PROM1|PRCD|CYP2D6|ENPP1","8815","9071|9223|9211|9259|9243|9415|9195|9439|9471|9083|9299|9003|9275","3.63E-7","","HP:0000546","0.46133028514039165","0"
"471","18","Monarch Phenotype","","Abnormal nostril morphology","1.3E-4","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|PDE6A|RPE65|ZNF462|PDE6G|PCARE|LRAT|DVL1|DYNC1I2|PDE6B|PROM1|RBM8A|PRCD|ABCC8","8815","9071|9223|9211|9259|9243|9287|9195|8891|9271|9315|9439|9047|9123|9175|9083|8883|9299|9311","4.04E-7","","HP:0005288","0.4572401158673343","0"
"241","13","Monarch Phenotype","","Ophthalmoplegia","1.5E-4","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|PDE6A|RPE65|PDE6G|PCARE|LRAT|PDE6B|PROM1|PRCD","8815","9071|9223|9211|9259|9243|9287|9195|9271|9315|9439|9175|9083|9299","4.77E-7","","HP:0000602","0.4499276861579984","0"
"30","6","Monarch Phenotype","","Severely reduced visual acuity","2.1E-4","TULP1|GUCY2D|RPE65|LRAT|AIPL1|PROM1","8815","9223|9415|9195|9439|9471|9083","7.15E-7","","HP:0001141","0.43273400988859906","0"
"303","14","Monarch Phenotype","","Glaucoma","2.9E-4","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|PDE6A|RPE65|PDE6G|PCARE|LRAT|CBS|PDE6B|PROM1|PRCD","8815","9071|9223|9211|9259|9243|9287|9195|9271|9315|9439|9235|9175|9083|9299","1.01E-6","","HP:0000501","0.4162403423257851","0"
"350","15","Monarch Phenotype","","Diabetes mellitus","2.9E-4","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|PDE6A|RPE65|PDE6G|PCARE|LRAT|MT-ND3|PDE6B|PROM1|PRCD|ABCC8","8815","9071|9223|9211|9259|9243|9287|9195|9271|9315|9439|9391|9175|9083|9299|9311","1.01E-6","","HP:0000819","0.4162403423257851","0"
"146","10","Monarch Phenotype","","Optic disc pallor","3.6E-4","IMPG2|TULP1|PDE6A|RPE65|PDE6G|LRAT|MT-ND3|AIPL1|PROM1|PRCD","8815","9071|9223|9287|9195|9271|9439|9391|9471|9083|9299","1.39E-6","","HP:0000543","0.40519137684107753","0"
"34","6","Monarch Phenotype","","Undetectable electroretinogram","3.6E-4","TULP1|RPE65|LRAT|PROM1|PRCD|CYP2D6","8815","9223|9195|9439|9083|9299|9003","1.37E-6","","HP:0000550","0.40519137684107753","0"
