"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","status"
"ENSG00000293514.1","CUTALP",689.533907487444,-1.37634988464713,0.121292719936798,-11.3473412531626,7.64521732442065e-30,1.52506795187543e-25,"Down-regulated"
"ENSG00000290588.1","ENSG00000290588",75.531007367667,5.87853697614944,0.531413323830255,11.0620805172495,1.91600847212873e-28,1.9110268501012e-24,"Up-regulated"
"ENSG00000112619.8","PRPH2",102.01894902377,-6.07754472725102,0.565188120007436,-10.7531360127864,5.72803678523693e-27,3.80876259306354e-23,"Down-regulated"
"ENSG00000112599.9","GUCA1B",79.0324335393014,2.26120124254675,0.214699531141856,10.5319337705155,6.15567215582106e-26,3.06983370410796e-22,"Up-regulated"
"ENSG00000137713.16","PPP2R1B",796.253804913429,0.902211142795795,0.0942209272413471,9.57548571438677,1.01379649374668e-21,4.04464249145174e-18,"Not Significant"
"ENSG00000274276.6","ENSG00000274276",54.5164979040876,3.72362763782303,0.399114266699471,9.32972822198531,1.06142724750609e-20,3.52889178887524e-17,"Up-regulated"
"ENSG00000183793.14","NPIPA5",42.5694694994023,-4.4635093461313,0.484733574960366,-9.20817037791586,3.31730841166398e-20,9.45338117083902e-17,"Down-regulated"
"ENSG00000291093.1","SVIL-AS1",326.663805683827,1.90308403349547,0.215428887170429,8.83393150515562,1.01059545950782e-18,2.51991977828274e-15,"Up-regulated"
"ENSG00000140382.15","HMG20A",1179.35953967322,-0.483036068934349,0.0558195032525564,-8.65353578567053,4.99279783414485e-18,1.10662590217246e-14,"Not Significant"
"ENSG00000180616.9","SSTR2",3464.01331149024,1.36892060694403,0.166442720657567,8.22457480589011,1.95884507037672e-16,3.90750414638748e-13,"Up-regulated"
"ENSG00000007062.12","PROM1",404.085584259995,1.54714147743801,0.188712942201116,8.19838565067351,2.4363666598317e-16,4.41824019366571e-13,"Up-regulated"
"ENSG00000148143.13","ZNF462",1818.67053991119,-0.568810272594353,0.0696586165093859,-8.16568432015457,3.19618101505188e-16,5.31311824068792e-13,"Not Significant"
"ENSG00000180346.5","TIGD2",445.676985619657,0.875162000705719,0.10734150103306,8.15306281618122,3.5482118842214e-16,5.44459466664988e-13,"Not Significant"
"ENSG00000003096.15","KLHL13",1387.35249488527,1.19953643559532,0.150592606413298,7.9654404300781,1.64636330862647e-15,2.34583252003434e-12,"Up-regulated"
"ENSG00000147647.13","DPYS",31.251148500242,3.53514465844749,0.455661892367246,7.75826268920971,8.61006701122385e-15,1.14502411159929e-11,"Up-regulated"
"ENSG00000249378.8","LINC01060",94.1006961852587,9.04645319175922,1.18527635430484,7.63235776947976,2.30498695894197e-14,2.8737424910609e-11,"Up-regulated"
"ENSG00000242419.6","PCDHGC4",879.249962625379,-0.70219075876555,0.0928503438694422,-7.5626080583278,3.95066672599892e-14,4.63575881471921e-11,"Not Significant"
"ENSG00000213025.2","COX20P1",47.2037159711878,-6.44513984783027,0.866687201659663,-7.43652362177282,1.03369489528472e-13,1.14556365395219e-10,"Down-regulated"
"ENSG00000092199.19","HNRNPC",8222.20270578523,-0.248101679923785,0.0347818577136852,-7.13307730616606,9.81493935936269e-13,1.03046531758193e-09,"Not Significant"
"ENSG00000215252.12","GOLGA8B",1150.73829381412,1.30596275537066,0.183596234527327,7.11323278896701,1.13355841041362e-12,1.13061115854655e-09,"Up-regulated"
"ENSG00000290885.1","ENSG00000290885",40.5601698995646,5.1610643845506,0.727086937378516,7.09827686240468,1.26321933928122e-12,1.19993806571342e-09,"Up-regulated"
"ENSG00000183426.17","NPIPA1",278.722232937967,1.00347767135505,0.145026351033311,6.91927821534007,4.53950568381497e-12,4.1160936082155e-09,"Up-regulated"
"ENSG00000184967.7","NOC4L",302.302035629931,0.966899151472668,0.140675229702931,6.8732722421318,6.2745654992359e-12,5.44195793820686e-09,"Not Significant"
"ENSG00000253537.3","PCDHGA7",237.456323647231,5.77138533519646,0.8451918864272,6.82849117209738,8.58123495077544e-12,7.13243644991952e-09,"Up-regulated"
"ENSG00000268916.6","CSAG3",32.4182329379096,8.67011154702496,1.27254287626852,6.81321762017824,9.54395972306966e-12,7.61531634223174e-09,"Up-regulated"
"ENSG00000115414.21","FN1",470.916558369081,-2.60941773214773,0.383828243745702,-6.79839947858698,1.05787784615747e-11,8.11636433659586e-09,"Down-regulated"
"ENSG00000254681.7","PKD1P5",220.011591037796,1.76913379050294,0.260655863957075,6.78723955657596,1.14299336559089e-11,8.44460431733592e-09,"Up-regulated"
"ENSG00000245105.4","A2M-AS1",132.591675823002,-2.39621045607679,0.353514163356627,-6.77825870772672,1.21632905776526e-11,8.66547573010765e-09,"Down-regulated"
"ENSG00000146842.17","TMEM209",648.830302300202,-0.520634330045177,0.0770790275576248,-6.75455239307407,1.43276887231477e-11,9.63293318778034e-09,"Not Significant"
"ENSG00000255085.9","ENSG00000255085",43.2286709495886,6.49311984719414,0.961523714015357,6.75294821391211,1.44870661536701e-11,9.63293318778034e-09,"Up-regulated"
"ENSG00000112763.17","BTN2A1",1445.54311559065,-0.716401040726174,0.106552174978611,-6.72347646465199,1.77439155739059e-11,1.10611133708836e-08,"Not Significant"
"ENSG00000275993.4","ENSG00000275993",451.872597881166,-2.00105143709347,0.297477516529423,-6.72673168863016,1.73516269111856e-11,1.10611133708836e-08,"Down-regulated"
"ENSG00000164627.18","KIF6",143.301454418526,1.34922434541277,0.202357218665646,6.66753750772829,2.60130994793012e-11,1.57245244973667e-08,"Up-regulated"
"ENSG00000290682.1","STAG3L5P",148.217299440681,1.9492567324738,0.296379727541079,6.5768895485729,4.80391347216621e-11,2.81848429243446e-08,"Up-regulated"
"ENSG00000253731.3","PCDHGA6",267.418436057701,5.26122668124471,0.802571413583114,6.55546234540767,5.54697450973918e-11,3.16145850057935e-08,"Up-regulated"
"ENSG00000205571.15","SMN2",150.295462777377,-1.0888950818854,0.168441122422727,-6.46454420526044,1.01604593008364e-10,5.63002339258569e-08,"Down-regulated"
"ENSG00000183682.8","BMP8A",212.032225373584,-2.00680823973336,0.314235282667962,-6.38632372117762,1.6992110052019e-10,9.16104354912634e-08,"Down-regulated"
"ENSG00000243978.9","RTL9",455.52058575795,1.27267892542159,0.207047034608194,6.14681068883671,7.90563892959104e-10,4.15004435177584e-07,"Up-regulated"
"ENSG00000110841.14","PPFIBP1",739.141786985411,-0.931955774690989,0.153119719975166,-6.08645166567792,1.15440486343948e-09,5.9046328758694e-07,"Not Significant"
