"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","status"
"ENSG00000170745.12","KCNS3",264.962177829175,0.886043476416268,0.201483173669298,4.39760531998849,1.09451777340198e-05,0.000803854545176281,"Not Significant"
"ENSG00000107937.19","GTPBP4",1599.15940866088,-0.312089747409681,0.0709731483849389,-4.39729326529227,1.09609202069354e-05,0.000803854545176281,"Not Significant"
"ENSG00000176593.8","ZNF606-AS1",788.678316599281,-0.548450016812206,0.124711584635275,-4.39774715730036,1.09380294916688e-05,0.000803854545176281,"Not Significant"
"ENSG00000268738.3","HSFX2",11.8999373496699,5.11240552764869,1.16417855528365,4.39142733255645,1.12608971881296e-05,0.00082282922017879,"Up-regulated"
"ENSG00000214021.18","TTLL3",125.408032000223,0.759309568106949,0.173103719585246,4.38644282125332,1.15219435235035e-05,0.000832988675648518,"Not Significant"
"ENSG00000213928.10","IRF9",19.7810798799547,1.76025256226091,0.401371523952384,4.38559403748268,1.15669672726408e-05,0.000832988675648518,"Up-regulated"
"ENSG00000065054.14","NHERF2",682.032050020505,0.40278733920346,0.0918419314003112,4.38565841399646,1.1563546542201e-05,0.000832988675648518,"Not Significant"
"ENSG00000196646.12","ZNF136",382.537901940604,-0.429537195135899,0.0979103933014407,-4.38704391487291,1.14901597399747e-05,0.000832988675648518,"Not Significant"
"ENSG00000171119.3","NRTN",9.80539075257943,2.69320045069343,0.614238450883184,4.38461715775202,1.16189937434905e-05,0.000833725493507731,"Up-regulated"
"ENSG00000138604.10","GLCE",718.264174139167,0.713804128747751,0.162872293453262,4.38260009491783,1.17271257117703e-05,0.000838468472037258,"Not Significant"
"ENSG00000102743.16","SLC25A15",477.978761484493,0.428279726120941,0.0978675321919597,4.3761165376164,1.20812439063665e-05,0.000860702333729283,"Not Significant"
"ENSG00000291072.1","ENSG00000291072",98.8664525904959,0.890491091110729,0.203532868678494,4.37517093377862,1.21337358265642e-05,0.000861365702022427,"Not Significant"
"ENSG00000258998.2","LINC02302",23.4314353523809,4.94855136846113,1.13152620903356,4.37334224249891,1.22358674028888e-05,0.000865535755151866,"Up-regulated"
"ENSG00000165349.12","SLC7A3",226.60907973347,-0.512777421616409,0.117443186272165,-4.3661743000406,1.26441595299032e-05,0.000891256870326889,"Not Significant"
"ENSG00000130684.14","ZNF337",704.381199345754,0.502405868006733,0.115157990761126,4.36275298558205,1.28435931371419e-05,0.000902126746125727,"Not Significant"
