"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000227232.6","WASH7P",210.556301035761,0.213996798637282,0.145471608637319,1.4710554220295,0.141276129252113,1
"ENSG00000243485.5","MIR1302-2HG",1.03081567041868,1.36915840169499,1.70795620697972,0.801635543171307,0.422763811177012,1
"ENSG00000238009.7","ENSG00000238009",5.94537873480543,-0.0160124001574759,0.657666651761633,-0.0243472891845511,0.980575592981829,1
"ENSG00000268903.1","ENSG00000268903",42.5776057768246,0.189022731330551,0.363590072073749,0.519878692650912,0.603148127166262,1
"ENSG00000269981.1","ENSG00000269981",71.7976441348744,-0.0224098129297027,0.241301226594345,-0.092870696291056,0.926006286081102,1
"ENSG00000239906.1","ENSG00000239906",0.637842592726615,-0.178293795989257,2.15401872132975,-0.0827726306293151,0.934032332022679,1
"ENSG00000241860.7","ENSG00000241860",15.2787438340733,0.609946513922585,0.544659639035064,1.11986728997064,0.262770319113823,1
"ENSG00000279928.2","DDX11L17",0.454763471264787,1.16706617943027,4.10724174404155,0.284148402300242,0.776296655284647,1
"ENSG00000279457.4","WASH9P",96.1956808495653,-0.112086667314305,0.166933892231522,-0.67144344276626,0.501938077678059,1
"ENSG00000292994.1","ENSG00000292994",11.415397885073,0.0351508419143682,0.538953216733178,0.0652205809762714,0.947998374765014,1
"ENSG00000290385.1","ENSG00000290385",103.17921330782,0.0202871356584214,0.297166440014442,0.0682685960683698,0.94557182249435,1
"ENSG00000250575.1","ENSG00000250575",0.677958964724209,-0.233253523268298,2.63635345868426,-0.088475815903953,0.929498505059447,1
"ENSG00000293331.1","ENSG00000293331",4.81118548261338,1.55510519575712,0.77365187041408,2.01008393468342,0.0444223060909433,1
"ENSG00000225630.1","MTND2P28",63.4119164435664,0.459196719181953,0.313230363014622,1.46600321489433,0.142647411023643,1
"ENSG00000237973.1","MTCO1P12",164.532070102628,0.122843425032791,0.17165223522817,0.715652929712798,0.474205682196392,1
"ENSG00000229344.1","MTCO2P12",1.28560421017881,-0.229074647942794,1.62775172305273,-0.140730705241203,0.888082687213608,1
"ENSG00000248527.1","MTATP6P1",733.088906815647,0.137429633107319,0.117842549552889,1.16621401716736,0.243527926644568,1
"ENSG00000198744.5","MTCO3P12",1.78894255113129,1.24721266100205,1.19395810030998,1.04460337484057,0.296206319178453,1
"ENSG00000291215.1","ENSG00000291215",55.7726239216421,0.115541283875185,0.281436253979287,0.410541578213618,0.681408709753379,1
"ENSG00000237491.10","LINC01409",34.3269775281975,0.129235579663307,0.312753866997049,0.413218167065946,0.679446779028194,1
"ENSG00000290784.1","ENSG00000290784",3.30186391965219,-1.04179096907754,0.952481151384343,-1.09376544361366,0.274057863529431,1
"ENSG00000177757.2","FAM87B",0.512824441564132,-0.21035142027018,3.09549809828,-0.0679539814245277,0.945822267061311,1
