"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000227232.6","WASH7P",210.556301035761,0.186696701801006,0.147132519938962,1.26890168046098,0.204476132907241,1
"ENSG00000243485.5","MIR1302-2HG",1.03081567041868,0.520843473258609,1.80635167532896,0.288340017269204,0.773086477901234,1
"ENSG00000238009.7","ENSG00000238009",5.94537873480543,-0.323212329568887,0.676650909394847,-0.477664812211583,0.63288879291023,1
"ENSG00000268903.1","ENSG00000268903",42.5776057768246,0.0336818441314264,0.369867989542808,0.0910645016159964,0.927441339014089,1
"ENSG00000269981.1","ENSG00000269981",71.7976441348744,0.228842568092108,0.239621903850627,0.955015231974629,0.339569994146865,1
"ENSG00000239906.1","ENSG00000239906",0.637842592726615,0.58337300228122,2.07071011784672,0.281726059699681,0.778153570775294,1
"ENSG00000241860.7","ENSG00000241860",15.2787438340733,0.243100016177214,0.558231840597144,0.435482175142802,0.663212474510669,1
"ENSG00000279928.2","DDX11L17",0.454763471264787,-0.867739393356751,4.22281806561845,-0.205488226078636,0.837190696058133,1
"ENSG00000279457.4","WASH9P",96.1956808495653,-0.143015324684333,0.169579089900415,-0.843354712944372,0.399030091745929,1
"ENSG00000292994.1","ENSG00000292994",11.415397885073,0.624487582839354,0.522238846204346,1.19578922054182,0.231778823520166,1
"ENSG00000290385.1","ENSG00000290385",103.17921330782,-0.183074021854329,0.300888324996443,-0.60844508292734,0.542892318515001,1
"ENSG00000250575.1","ENSG00000250575",0.677958964724209,-1.01287543471806,2.70585722631483,-0.374327006195193,0.708161042128818,1
"ENSG00000293331.1","ENSG00000293331",4.81118548261338,0.710259122378396,0.821426774152516,0.864665171294405,0.387222590957676,1
"ENSG00000225630.1","MTND2P28",63.4119164435664,0.22453201852699,0.316895552842606,0.708536350582708,0.478612246734738,1
"ENSG00000237973.1","MTCO1P12",164.532070102628,0.114088273471137,0.172989687323312,0.659509102747317,0.509568902687427,1
"ENSG00000229344.1","MTCO2P12",1.28560421017881,0.904947778345262,1.52047916688757,0.595172757412847,0.551727998402234,1
"ENSG00000248527.1","MTATP6P1",733.088906815647,0.0320298154912577,0.118473337144518,0.270354632217261,0.786887439125988,1
"ENSG00000198744.5","MTCO3P12",1.78894255113129,0.543727435935145,1.25633040186537,0.432790160237967,0.665167222432225,1
"ENSG00000291215.1","ENSG00000291215",55.7726239216421,0.247367317677167,0.28173226883018,0.878022665647408,0.379931418621179,1
"ENSG00000237491.10","LINC01409",34.3269775281975,0.106428927266605,0.317055462232213,0.335679210562397,0.737112784629426,1
"ENSG00000290784.1","ENSG00000290784",3.30186391965219,-0.333277361351409,0.907421092929926,-0.367279716052563,0.713410382694753,1
"ENSG00000177757.2","FAM87B",0.512824441564132,-1.02148013150036,3.09556483801802,-0.329981823980913,0.741413695984496,1
"ENSG00000225880.6","LINC00115",27.9115355019655,0.415764640251538,0.392784092199219,1.05850681967197,0.289824443312903,1
"ENSG00000228794.12","LINC01128",1629.03314248294,-0.030626169031013,0.125250573321032,-0.244519192359419,0.806828739662059,1
"ENSG00000288531.1","ENSG00000288531",9.67843509371994,-0.109971975740578,0.514497685668396,-0.21374629819318,0.830744904846168,1
"ENSG00000272438.1","ENSG00000272438",75.1841811428058,0.131314215836219,0.480679711278077,0.27318443602928,0.784711443359641,1
"ENSG00000230699.2","ENSG00000230699",259.441459005035,0.0329169932488166,0.421619576824309,0.0780727344227027,0.937770195755399,1
"ENSG00000241180.1","ENSG00000241180",3.72449913290836,0.569436912399998,0.883881730433961,0.644245596207109,0.519416187972218,1
"ENSG00000223764.2","LINC02593",317.85780764513,0.0647763679690449,0.463658282571427,0.139707130022133,0.888891392717992,1
"ENSG00000187634.13","SAMD11",637.882379201517,0.0346384417086922,0.518522957870893,0.0668021370758994,0.94673922207139,1
"ENSG00000188976.11","NOC2L",2740.9219848287,0.0123989628301911,0.118256145656977,0.104848359138615,0.916496136447256,1
