"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000227232.6","WASH7P",210.556301035761,0.108431575319101,0.147635798120041,0.734453138736287,0.46267261060005,1
"ENSG00000243485.5","MIR1302-2HG",1.03081567041868,-0.112961692348615,1.90376717198406,-0.0593358757367842,0.952684586735426,1
"ENSG00000238009.7","ENSG00000238009",5.94537873480543,-1.0357509755852,0.717166015696382,-1.4442276305849,0.148674955031129,1
"ENSG00000268903.1","ENSG00000268903",42.5776057768246,-0.252931133378186,0.376183210063046,-0.672361569076398,0.501353542412741,1
"ENSG00000269981.1","ENSG00000269981",71.7976441348744,-0.0816680249708804,0.244654484388289,-0.333809638417523,0.738523209814074,1
"ENSG00000239906.1","ENSG00000239906",0.637842592726615,-1.9394905156034,2.23739885255046,-0.866850590091497,0.386023878866782,1
"ENSG00000241860.7","ENSG00000241860",15.2787438340733,0.36009382633849,0.553962867314783,0.650032425609984,0.515671276680918,1
"ENSG00000279928.2","DDX11L17",0.454763471264787,-0.894951870124167,4.22281806561845,-0.211932376961899,0.832159791115369,1
"ENSG00000279457.4","WASH9P",96.1956808495653,-0.288287810877921,0.171464456586461,-1.68132694447115,0.092699427022456,1
"ENSG00000292994.1","ENSG00000292994",11.415397885073,0.495337340885519,0.525712133511073,0.942221625316712,0.346079184437846,1
"ENSG00000290385.1","ENSG00000290385",103.17921330782,-0.0358476956128055,0.298937051606071,-0.119917204709855,0.90454873543669,1
"ENSG00000250575.1","ENSG00000250575",0.677958964724209,1.16321933560427,2.52088863940759,0.461432257427137,0.644488512866209,1
"ENSG00000293331.1","ENSG00000293331",4.81118548261338,0.615761674938345,0.825877842562734,0.745584447486338,0.45591848072745,1
"ENSG00000225630.1","MTND2P28",63.4119164435664,0.0320894769228758,0.31874275574497,0.10067515682945,0.919808333134018,1
"ENSG00000237973.1","MTCO1P12",164.532070102628,-0.159166848409999,0.175307331610449,-0.907930358347387,0.363915016991374,1
"ENSG00000229344.1","MTCO2P12",1.28560421017881,0.903781960324215,1.51836491051234,0.595233697819882,0.551687268127823,1
"ENSG00000248527.1","MTATP6P1",733.088906815647,-0.329541566861049,0.119459833743783,-2.75859723334162,0.0058050032740132,1
"ENSG00000198744.5","MTCO3P12",1.78894255113129,-0.489193243405345,1.38670133017089,-0.35277477042952,0.724257299542065,1
"ENSG00000291215.1","ENSG00000291215",55.7726239216421,0.0488377572453878,0.284380855886889,0.171733631974203,0.863646944107731,1
"ENSG00000237491.10","LINC01409",34.3269775281975,0.272181133699693,0.31229983046097,0.871537884916364,0.383460529545719,1
"ENSG00000290784.1","ENSG00000290784",3.30186391965219,-0.461304494618057,0.914445163136275,-0.504463813921789,0.613935484613066,1
"ENSG00000177757.2","FAM87B",0.512824441564132,0.774997392213155,3.04319147804725,0.254665997129584,0.798981080840749,1
"ENSG00000225880.6","LINC00115",27.9115355019655,0.348916005928537,0.393736493986339,0.886166284450743,0.375527928858891,1
"ENSG00000228794.12","LINC01128",1629.03314248294,0.0358686687921532,0.125140514983822,0.286627147065762,0.774397825848001,1
"ENSG00000288531.1","ENSG00000288531",9.67843509371994,-0.424171688947324,0.529586591127758,-0.800948694799934,0.423161348040035,1
"ENSG00000272438.1","ENSG00000272438",75.1841811428058,-0.018946882758358,0.481356162916993,-0.0393614629208046,0.968602204217898,1
"ENSG00000230699.2","ENSG00000230699",259.441459005035,-0.000664911769639259,0.421624986121787,-0.00157702174094397,0.998741719222407,1
"ENSG00000241180.1","ENSG00000241180",3.72449913290836,0.310018440288259,0.897223292232791,0.345530976482744,0.729695226737219,1
"ENSG00000223764.2","LINC02593",317.85780764513,-0.255081957778791,0.464117912633084,-0.549605931672908,0.582589689484915,1
"ENSG00000187634.13","SAMD11",637.882379201517,-0.250889336807612,0.518727035594789,-0.483663506221407,0.62862469666606,1
"ENSG00000188976.11","NOC2L",2740.9219848287,0.0121590752146756,0.118233626342312,0.102839400184449,0.918090434201765,1
"ENSG00000187961.15","KLHL17",419.55165212134,-0.115560068340914,0.264564296506181,-0.436793890434169,0.66226083020174,1
"ENSG00000187583.11","PLEKHN1",6.72907833774804,-0.208559452739181,0.720930692444736,-0.289291959580661,0.772357964725993,1
"ENSG00000187642.10","PERM1",0.398402349958432,-0.0869004671373734,3.67827833530059,-0.0236253103261344,0.98115148306281,1
"ENSG00000272512.1","ENSG00000272512",45.2734257652459,0.117238595366269,0.375597848945486,0.31213862298579,0.75493517493557,1
"ENSG00000188290.11","HES4",66.3955988642206,-0.188023471050107,0.359613758918608,-0.522848379371,0.601079769535561,1
"ENSG00000187608.10","ISG15",45.1929390250598,-0.603155745093226,0.353691597382673,-1.70531544870332,0.0881356078703752,1
"ENSG00000224969.1","ENSG00000224969",0.947718355617326,2.3280745514841,2.12791757426085,1.0940623733007,0.273927623361019,1
"ENSG00000188157.15","AGRN",2535.86326318443,-0.25279657374693,0.213877030580822,-1.18197158928387,0.237216974076367,1
