"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"8","2","Reactome Pathways","","Defective CHST14 causes EDS, musculocontractural type","0.026","NCAN|BCAN","4436","4600|4472","2.4E-4","","HSA-3595174","0.18484020684776503","0"
"8","2","Reactome Pathways","","Defective CHSY1 causes TPBS","0.026","NCAN|BCAN","4436","4600|4472","2.4E-4","","HSA-3595177","0.18484020684776503","0"
"46","4","GO Molecular Function","","Sodium channel activity","0.0271","SCNN1G|SCN5A|SCNN1B|SCN8A","4436","4544|4576|4620|4556","5.49E-6","","GO:0005272","0.18274158358205453","0"
"8","3","GO Biological Process","","Histone H2A-K119 monoubiquitination","0.0302","PCGF5|PCGF3|PCGF6","4436","4548|4528|4568","1.93E-6","","GO:0036353","0.17725621882211373","0"
"5","2","STRING Clusters","","Aggrecan/versican, C-type lectin-like domain, and Perineuronal net","0.0328","NCAN|BCAN","4436","4600|4472","1.1E-4","","CL:28880","0.17307354760584875","0"
"236","5","UniProt Keywords","","Homeobox","0.0331","OTP|IRX1|IRX2|POU3F3|PBX3","4436","4584|4536|4560|4632|4564","2.4E-4","","KW-0371","0.17261242859891693","0"
"202","5","COMPARTMENTS","","Cation channel complex","0.0335","SCNN1G|SCN5A|SCNN1B|SCN8A|GRIA1","4436","4544|4576|4620|4556|4512","1.2E-4","","GOCC:0034703","0.17200406227205528","0"
"138","4","UniProt Keywords","","GPI-anchor","0.0342","GPC2|BCAN|GPC4|GPC5","4436","4636|4472|4612|4524","3.3E-4","","KW-0336","0.17095669491936008","0"
"10","2","UniProt Keywords","","Hyaluronic acid","0.0342","NCAN|BCAN","4436","4600|4472","3.5E-4","","KW-0373","0.17095669491936008","0"
"2188","17","GO Biological Process","","Nervous system development","0.0349","NCAN|ST8SIA2|GPC2|DRAXIN|OTP|IRX1|IRX2|SCN5A|BCAN|ZBTB16|AUTS2|PCDHB13|SCN8A|POU3F3|PBX3|TFAP2B|PCDHB16","4436","4600|4532|4636|4624|4584|4536|4560|4576|4472|4500|4496|4596|4556|4632|4564|4508|4608","4.45E-6","","GO:0007399","0.16993054921149048","0"
"12","3","GO Biological Process","","Loop of Henle development","0.0349","IRX1|IRX2|POU3F3","4436","4536|4560|4632","5.28E-6","","GO:0072070","0.16993054921149048","0"
"37","3","KEGG Pathways","","Aldosterone-regulated sodium reabsorption","0.037","SCNN1G|SCNN1B|NEDD4L","4436","4544|4620|4592","1.1E-4","","hsa04960","0.16697125511985236","0"
"11","2","Reactome Pathways","","Dermatan sulfate biosynthesis","0.0372","NCAN|BCAN","4436","4600|4472","4.1E-4","","HSA-2022923","0.1666982308051206","0"
"1215","10","Reactome Pathways","","Generic Transcription Pathway","0.0374","KIT|CBX2|ZNF471|SCMH1|YAF2|PCGF5|AUTS2|PCGF6|TFAP2B|NEDD4L","4436","4492|4488|4476|4516|4504|4548|4496|4568|4508|4592","4.3E-4","","HSA-212436","0.16642667043476697","0"
"6","2","STRING Clusters","","ROBO receptors bind AKAP5, and Response to clozapine","0.0397","AKAP5|AKAP1","4436","4640|4580","1.5E-4","","CL:10814","0.16340409937926356","0"
"12","2","Reactome Pathways","","TFAP2 (AP-2) family regulates transcription of growth factors and their receptors","0.0401","KIT|TFAP2B","4436","4492|4508","4.7E-4","","HSA-8866910","0.162896366929101","0"
"2299","14","UniProt Keywords","","Transcription regulation","0.0412","OTP|CBX2|ZNF471|SCMH1|YAF2|PCGF5|ZBTB16|AUTS2|PCGF3|POU3F3|PCGF6|PBX3|TFAP2B|EBF2","4436","4584|4488|4476|4516|4504|4548|4500|4496|4528|4632|4568|4564|4508|4552","5.5E-4","","KW-0805","0.16152579186355345","0"
"225","5","GO Cellular Component","","Cation channel complex","0.0434","SCNN1G|SCN5A|SCNN1B|SCN8A|GRIA1","4436","4544|4576|4620|4556|4512","1.9E-4","","GO:0034703","0.15889113278107517","0"
"868","11","Monarch Phenotype","","Sleep measurement","0.0497","ST8SIA2|RHBDL3|PCGF5|ZBTB16|AUTS2|SCN8A|SMOC1|PBX3|GPC5|NEDD4L|GRIA1","4436","4532|4572|4548|4500|4496|4556|4540|4564|4524|4592|4512","4.08E-6","","EFO:0004870","0.15202631101111722","0"
