gene_id,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,abs_log2FC
ENSG00000161671.17,EMC10,1864.34347366467,7.462006484964901,0.248128681031245,30.0731316265098,1.0883897796472001e-198,1.9342863163890096e-194,7.462006484964901
ENSG00000131409.13,LRRC4B,1645.21517667056,7.698898685737821,0.27940580356588,27.5545410563475,3.9042770710984496e-167,2.31289373691872e-163,7.698898685737821
ENSG00000081665.14,ZNF506,604.189427880511,5.116613534939569,0.225200690556423,22.7202391000557,2.82665163639156e-114,1.0047050576390201e-110,5.116613534939569
ENSG00000159176.14,CSRP1,656.475040163498,5.12656387016251,0.2258436592062809,22.6996139195567,4.51946620258491e-114,1.27811651891947e-110,5.12656387016251
ENSG00000287080.2,H3C3,766.253181222113,5.13057243222473,0.22606748834431,22.6948707653648,5.034219914717709e-114,1.27811651891947e-110,5.13057243222473
ENSG00000276410.4,H2BC3,500.425412618922,4.66946778956397,0.2399709113543599,19.4584742092706,2.47030258018191e-84,5.48777718187411e-81,4.66946778956397
ENSG00000130226.18,DPP6,801.5497240295028,3.01756955106962,0.159971730316632,18.863142538353095,2.29184449189319e-79,4.07306603099258e-76,3.01756955106962
ENSG00000130600.22,H19,1275.52248642468,2.70827938319184,0.1631633369955559,16.5985780449294,7.1361512393456e-62,9.755667678896148e-59,2.70827938319184
ENSG00000196172.9,ZNF681,307.500814390798,4.33755197135565,0.2630330899627539,16.4905182536914,4.292518000148221e-61,5.449044992759591e-58,4.33755197135565
ENSG00000189056.15,RELN,2873.38744494522,1.80019166279528,0.109408233145829,16.4538957538581,7.864304500140021e-61,9.317627971765891e-58,1.80019166279528
ENSG00000101958.14,GLRA2,3785.00126897738,1.92780646366397,0.124724973580062,15.4564591863913,6.82483730117762e-54,6.73838936202937e-51,1.92780646366397
ENSG00000154734.16,ADAMTS1,1136.13619657132,2.04864323591804,0.1355441017527649,15.1142189842742,1.30509268514783e-51,1.22074248423406e-48,2.04864323591804
ENSG00000198759.12,EGFL6,1108.31912095045,1.96908497103585,0.135339571635781,14.5492182902348,5.9074238160978e-48,4.99936838379477e-45,1.96908497103585
ENSG00000019991.18,HGF,253.080943997496,4.91185159823554,0.345586017150806,14.2131086168689,7.59765458644759e-46,5.870674665667239e-43,4.91185159823554
ENSG00000138735.16,PDE5A,979.247893815768,1.97774381023223,0.145710256462321,13.5731269592793,5.78024865738091e-42,4.10906316555894e-39,1.97774381023223
ENSG00000143869.7,GDF7,726.9338002053581,2.1153117598745,0.1596834442855699,13.2469071501964,4.701840823091399e-40,3.0948561151103906e-37,2.1153117598745
ENSG00000185070.12,FLRT2,2061.72535991247,1.43643530285304,0.112701703772529,12.7454621782139,3.3042675750793294e-37,1.894304624009989e-34,1.43643530285304
ENSG00000175426.11,PCSK1,5935.68939207776,1.16390824243477,0.0944234287722162,12.3264772055942,6.52369319909856e-35,3.51330531922362e-32,1.16390824243477
ENSG00000135111.16,TBX3,220.548004857243,3.64409746091783,0.2978826381473589,12.2333328440416,2.06297104060842e-34,1.0783270980497899e-31,3.64409746091783
ENSG00000213023.11,SYT3,147.011273899431,4.68430929440107,0.3949227990671009,11.8613291141116,1.8796739055239e-32,9.028530986208308e-30,4.68430929440107
ENSG00000167244.22,IGF2,508.570610919148,2.2511009358112295,0.1929864078470099,11.6645569028664,1.9340737509821099e-31,8.813425308321572e-29,2.2511009358112295
ENSG00000125968.9,ID1,2672.58759205456,1.53474302983789,0.133661693822498,11.4822952331879,1.61924041991151e-30,6.85170017682556e-28,1.53474302983789
ENSG00000186854.11,TRABD2A,575.24191618445,1.98642387541923,0.1749343848695049,11.3552511526024,6.98389123752116e-30,2.88645849007502e-27,1.98642387541923
ENSG00000130303.14,BST2,185.49489909082897,3.239415996953,0.2870783091568089,11.2840848424516,1.5726980199376602e-29,6.2111087134071295e-27,3.239415996953
ENSG00000179603.19,GRM8,1592.73630161776,1.45158690212287,0.130182868052792,11.150368123202,7.131073462079611e-29,2.61197886985509e-26,1.45158690212287
ENSG00000137868.19,STRA6,250.57105501487496,2.57744644188914,0.2311716414959069,11.1494923218546,7.20160728240489e-29,2.61197886985509e-26,2.57744644188914
ENSG00000134121.10,CHL1,7343.72971354029,1.23455160508128,0.110913342850456,11.1307762741028,8.885826965100759e-29,3.15837833647541e-26,1.23455160508128
ENSG00000106034.18,CPED1,247.084465428825,2.74249309042691,0.25020830510578,10.9608395663264,5.8949923504101e-28,1.97671328399034e-25,2.74249309042691
ENSG00000005469.12,CROT,696.006029177846,1.64933827324222,0.1512832342023809,10.9023202864357,1.12355022002189e-27,3.6304971836780097e-25,1.64933827324222
ENSG00000291100.1,ENSG00000291100,121.216109505825,4.69370404687334,0.4340187202909899,10.8145198062573,2.93827389682582e-27,9.0032764990325e-25,4.69370404687334
ENSG00000144619.15,CNTN4,2074.2903062252294,1.23602884534862,0.114573348541745,10.7881009072392,3.9180210324073695e-27,1.18018762352447e-24,1.23602884534862
ENSG00000233098.10,CCDC144NL-AS1,1995.20037645887,1.19756345502544,0.1111033399806929,10.7788249681202,4.33386363047315e-27,1.28369040734615e-24,1.19756345502544
ENSG00000047457.14,CP,4910.72448640884,1.3451025546447,0.127602699968548,10.5413330201967,5.570366478469801e-26,1.54682114149008e-23,1.3451025546447
ENSG00000152582.14,SPEF2,937.23967781534,1.45158342472312,0.1408525791487099,10.3056928988894,6.641135017721741e-25,1.78827653840835e-22,1.45158342472312
ENSG00000142700.12,DMRTA2,1544.11780835576,1.32492109768787,0.128622154162369,10.300877841117,6.98212083727487e-25,1.85203360477685e-22,1.32492109768787
ENSG00000105357.20,MYH14,125.752708118955,3.68179702497733,0.3588057390905999,10.2612545560417,1.05329311218026e-24,2.75281252789228e-22,3.68179702497733
ENSG00000109193.12,SULT1E1,148.79446354467,6.68342013476073,0.654985470638626,10.2039212079685,1.9042550079967e-24,4.83463142887389e-22,6.68342013476073
ENSG00000145247.12,OCIAD2,402.275772501415,1.97982840953013,0.195648315940105,10.1193225201909,4.53544015207827e-24,1.13264328810696e-21,1.97982840953013
ENSG00000124610.5,H1-1,155.241187735501,7.01274810862378,0.693083959612941,10.1181797837886,4.58869664324224e-24,1.13264328810696e-21,7.01274810862378
ENSG00000101542.10,CDH20,1051.25712074808,1.35182049116633,0.1345020087232499,10.0505598689446,9.134695678635241e-24,2.22386043288638e-21,1.35182049116633
ENSG00000101825.8,MXRA5,751.561004888973,1.78880877075241,0.1791623238777249,9.984290960488089,1.7857317838278602e-23,4.2314700349584896e-21,1.78880877075241
ENSG00000102181.22,CD99L2,5208.68772321301,0.928969604560967,0.093545506572867,9.930670521703242,3.06189564502356e-23,7.06701420822841e-21,0.928969604560967
ENSG00000176956.13,LY6H,1371.56538456482,1.23935335251666,0.124951625466333,9.91866530660374,3.45343097740583e-23,7.681560311248622e-21,1.23935335251666
ENSG00000274618.2,H4C6,600.553196990762,1.8881923494879,0.1915682051899909,9.85650174889537,6.424894115170392e-23,1.39247827091229e-20,1.8881923494879
